,lat_d,long_d,Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
48,-19.8533943333333,-43.9809628055556,89.9,2022-07-28, _Pampulha_2022-07-28_0001SET_000_DJI_1301.TIF,0.0415113682964608,0.1338536184828825,0.1057077389921953,0.0632393364816879,0.1095948220637852,0001SET_000_DJI_1301.T,-0.4796013094255205,6.604632502903277,0.0221656736785257,-0.2513710426261412,0.0180540493922839,1.036771981963183,0.598246988201659,0.9070992318357496,8.276843875961672,0.5265717625982733,3.2245050928445225,1.2662612951428778,2022-07-28,09:48:45,-19.85255,-43.98122,A18,,,,"sem nuvens, sem vento, coleta thiago",,0.4,40,8.2,6.42,313.7,0.434,29.04,9.39,7.16,94.8,0.616,0.16,340.5,221.0,15.0,7.76,20.873,0.429,4674,696.5,164,97.663
82,-19.8532468055556,-43.9812778333333,89.9,2022-07-28, _Pampulha_2022-07-28_0001SET_000_DJI_1311.TIF,0.055258235218593,0.1928646357005996,0.1311613171777693,0.4061955690239608,0.3994818878915293,0001SET_000_DJI_1311.T,-0.3935562457235924,6.858209163000402,1.081402007480178,0.511827909734724,0.5056515718103259,3.0457294611496777,3.0969159029824644,6.245892044992468,15.634981795941664,0.5545897481043639,3.490242403465421,1.4704383872510278,2022-07-28,09:48:45,-19.85255,-43.98122,A18,,,,"sem nuvens, sem vento, coleta thiago",,0.4,40,8.2,6.42,313.7,0.434,29.04,9.39,7.16,94.8,0.616,0.16,340.5,221.0,15.0,7.76,20.873,0.429,4674,696.5,164,77.717
116,-19.8531340277778,-43.9814064166667,89.9,2022-07-28, _Pampulha_2022-07-28_0001SET_000_DJI_1321.TIF,0.0299000027893594,0.1334263779164668,0.1026094410951318,0.0759403883876936,0.1203929970782513,0001SET_000_DJI_1321.T,-0.5449405090745476,7.885296495197216,0.1088835490400671,-0.1493647615608811,0.0797460159125833,1.1733130576808417,0.740091628774075,2.441159383462778,20.27658952518732,0.633861931426577,4.462420249805115,1.3003323718795412,2022-07-28,09:48:45,-19.85255,-43.98122,A18,,,,"sem nuvens, sem vento, coleta thiago",,0.4,40,8.2,6.42,313.7,0.434,29.04,9.39,7.16,94.8,0.616,0.16,340.5,221.0,15.0,7.76,20.873,0.429,4674,696.5,164,67.804
150,-19.8530068888889,-43.9815176388889,89.9,2022-07-28, _Pampulha_2022-07-28_0001SET_000_DJI_1331.TIF,0.0399532973895657,0.1197613339340909,0.1078867779769286,0.0545304280498823,0.0891658884174878,0001SET_000_DJI_1331.T,-0.5672405137433524,6.334852010685843,-0.1172146183745902,-0.328514147191022,-0.0950044975385892,0.8264765163026352,0.5054412512119283,0.5965945104592485,6.690837954374494,0.4996914552104921,2.9975331639427605,1.1100649790440646,2022-07-28,09:48:45,-19.85255,-43.98122,A18,,,,"sem nuvens, sem vento, coleta thiago",,0.4,40,8.2,6.42,313.7,0.434,29.04,9.39,7.16,94.8,0.616,0.16,340.5,221.0,15.0,7.76,20.873,0.429,4674,696.5,164,59.582
184,-19.8530531388889,-43.9815343611111,90.0,2022-07-28, _Pampulha_2022-07-28_0001SET_000_DJI_1341.TIF,0.03115587834617,0.1331768131642343,0.0981300458708627,0.0633593523908523,0.1050564647865066,0001SET_000_DJI_1341.T,-0.5028966074004176,7.716110850976127,0.0421487584240374,-0.2153125459273795,0.034088970243324,1.0705840790572845,0.6456672044587854,1.7138577728632272,16.313682136040754,0.6208194722570165,4.274532455304883,1.3571461419623965,2022-07-28,09:48:45,-19.85255,-43.98122,A18,,,,"sem nuvens, sem vento, coleta thiago",,0.4,40,8.2,6.42,313.7,0.434,29.04,9.39,7.16,94.8,0.616,0.16,340.5,221.0,15.0,7.76,20.873,0.429,4674,696.5,164,64.892
218,-19.8530674166667,-43.9815415277778,89.9,2022-07-28, _Pampulha_2022-07-28_0001SET_000_DJI_1351.TIF,0.0286903304875281,0.1424143324148337,0.1043225648062135,0.080157183958265,0.1257182364214162,0001SET_000_DJI_1351.T,-0.5310717891678131,8.294433486984431,0.1250443515230896,-0.130992052026263,0.0930081598613076,1.2050915030218692,0.7683590228745104,2.813506321931327,22.37946062574613,0.664645837221867,4.963844263723008,1.3651345006651086,2022-07-28,09:48:45,-19.85255,-43.98122,A18,,,,"sem nuvens, sem vento, coleta thiago",,0.4,40,8.2,6.42,313.7,0.434,29.04,9.39,7.16,94.8,0.616,0.16,340.5,221.0,15.0,7.76,20.873,0.429,4674,696.5,164,66.641
252,-19.852829,-43.9819588055556,90.0,2022-07-28, _Pampulha_2022-07-28_0001SET_000_DJI_1361.TIF,0.0256815659717958,0.100486013224807,0.1293310700628617,0.0235840918886806,0.0531834503738545,0001SET_000_DJI_1361.T,-1.0314819024532451,7.412763526959589,-0.6035434790291796,-0.6915401770799651,-0.4172140359397328,0.4112194412990207,0.1823544170570729,-0.1841757523498001,-3.463027521816123,0.5928975393626748,3.9127681440907263,0.7769673070513181,2022-07-28,09:48:45,-19.85255,-43.98122,A18,,,,"sem nuvens, sem vento, coleta thiago",,0.4,40,8.2,6.42,313.7,0.434,29.04,9.39,7.16,94.8,0.616,0.16,340.5,221.0,15.0,7.76,20.873,0.429,4674,696.5,164,83.264
287,-19.8520466666667,-43.9832076111111,89.9,2022-07-28, _Pampulha_2022-07-28_0001SET_000_DJI_1401.TIF,0.0249037961295307,0.11606060573041,0.1319329811762093,0.0457968603169561,0.0882713473140874,0001SET_000_DJI_1401.T,-0.9221835813548146,8.078606389563824,-0.3097351763000647,-0.484646360653878,-0.1982778184310117,0.669062023211561,0.3471221517824261,1.6170395282407015,18.318962805529026,0.6466654587833517,4.660358008343409,0.879693649728113,2022-07-28,09:53:03,-19.851575,-43.98386,P3,,,,"sem nuvens, sem vento",,0.4,40,6.8,7.0,315.0,0.391,28.53,9.22,7.29,93.8,0.555,0.16,342.2,222.0,21.22,7.78,20.839,0.395,4674,696.6,165,86.059
321,-19.8510971944444,-43.98466575,32.2,2022-07-28, _Pampulha_2022-07-28_0001SET_000_DJI_1411.TIF,0.0642009937588045,0.1906264175282417,0.145865832702224,0.1546845147634918,0.2453200228015724,0001SET_000_DJI_1411.T,-0.4284025267973191,6.223080113087888,0.3902805808725177,0.0293417796240403,0.2542376946918603,1.6818196438255553,1.0604574895840797,2.2351871838467097,9.111311658627416,0.4961217599429572,2.9692128792336527,1.306861339607841,2022-07-28,09:53:03,-19.851575,-43.98386,P3,,,,"sem nuvens, sem vento",,0.4,40,6.8,7.0,315.0,0.391,28.53,9.22,7.29,93.8,0.555,0.16,342.2,222.0,21.22,7.78,20.839,0.395,4674,696.6,165,99.621
323,-19.8510971944444,-43.98466575,32.2,2022-07-28, _Pampulha_2022-07-28_0001SET_000_DJI_1411.TIF,0.0642009937588045,0.1906264175282417,0.145865832702224,0.1546845147634918,0.2453200228015724,0001SET_000_DJI_1411.T,-0.4284025267973191,6.223080113087888,0.3902805808725177,0.0293417796240403,0.2542376946918603,1.6818196438255553,1.0604574895840797,2.2351871838467097,9.111311658627416,0.4961217599429572,2.9692128792336527,1.306861339607841,2022-07-28,09:58:32,-19.85097,-43.98486,B5,,,,"sem nuvens, sem vento",,0.35,35,8.2,15.16,319.6,0.408,27.4,8.85,8.61,92.3,0.58,0.17,347.0,226.0,39.83,7.9,20.868,0.433,4674,696.5,167,24.754
324,-19.8510971944444,-43.98466575,32.2,2022-07-28, _Pampulha_2022-07-28_0001SET_000_DJI_1411.TIF,0.0642009937588045,0.1906264175282417,0.145865832702224,0.1546845147634918,0.2453200228015724,0001SET_000_DJI_1411.T,-0.4284025267973191,6.223080113087888,0.3902805808725177,0.0293417796240403,0.2542376946918603,1.6818196438255553,1.0604574895840797,2.2351871838467097,9.111311658627416,0.4961217599429572,2.9692128792336527,1.306861339607841,2022-07-28,10:00:00,-19.85121,-43.98505,B6,,,,"sem nuvens, sem vento",,0.3,30,6.31,8.68,319.4,0.383,27.12,8.76,8.65,87.5,0.544,0.16,344.7,224.0,28.16,7.9,21.153,0.407,4674,696.4,168,42.1
325,-19.8510971944444,-43.98466575,32.2,2022-07-28, _Pampulha_2022-07-28_0001SET_000_DJI_1411.TIF,0.0642009937588045,0.1906264175282417,0.145865832702224,0.1546845147634918,0.2453200228015724,0001SET_000_DJI_1411.T,-0.4284025267973191,6.223080113087888,0.3902805808725177,0.0293417796240403,0.2542376946918603,1.6818196438255553,1.0604574895840797,2.2351871838467097,9.111311658627416,0.4961217599429572,2.9692128792336527,1.306861339607841,2022-07-28,10:01:05,-19.85122,-43.98524,B3,,,,"sem nuvens, sem vento",,0.2,20,12.66,10.65,334.5,0.109,26.5,8.56,7.06,90.3,0.155,0.18,372.5,242.0,67.06,7.62,19.668,0.342,4674,696.5,169,61.592
