,lat_d,long_d,Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
338,-19.8547245277778,-43.9777048888889,90.0,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0101.TIF,0.0342603502604434,0.0823294137214459,0.0842961775711896,0.0204795400742206,0.0706692133096325,0000SET_000_DJI_0101.T,169682491.6474383,633.276169730986,1179936.4704099558,inf,514767736868.89886,-0.6077515319134651,5.523878805832654,-0.1168795938524575,-0.6090785053168716,-0.087935533115501,0.8383442208865415,0.2429474344423894,-1.388011325899549,-19.6409618969164,0.4122923129724269,2.403052306692336,0.9766684100464372,2022-07-28,10:39:29,-19.85555,-43.97748,EX4,,,,ponto extra em região com floração,,,0,6.26,3.52,311.2,0.223,29.08,9.4,7.33,116.4,0.316,0.16,337.2,219.0,9.72,7.84,20.953,0.389,4674,696.3,182,94.754
372,-19.8549655555556,-43.9777667222222,90.0,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0111.TIF,0.0338271786408245,0.0806023763763551,0.0827121250715503,0.019087447037385,0.036227770688392,0000SET_000_DJI_0111.T,317036947.09153813,182633.97188175385,833032.5616853732,inf,896561.5965598687,-0.6064951013660972,5.493874736258007,-0.4062268211755213,-0.6249994643010954,-0.3908222223178855,0.4379983062586421,0.2307696365058129,-0.8270229542499197,-22.82842522559391,0.4087685015336127,2.382769702202705,0.9744928727998444,2022-07-28,10:39:29,-19.85555,-43.97748,EX4,,,,ponto extra em região com floração,,,0,6.26,3.52,311.2,0.223,29.08,9.4,7.33,116.4,0.316,0.16,337.2,219.0,9.72,7.84,20.953,0.389,4674,696.3,182,71.572
373,-19.8549655555556,-43.9777667222222,90.0,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0111.TIF,0.0338271786408245,0.0806023763763551,0.0827121250715503,0.019087447037385,0.036227770688392,0000SET_000_DJI_0111.T,317036947.09153813,182633.97188175385,833032.5616853732,inf,896561.5965598687,-0.6064951013660972,5.493874736258007,-0.4062268211755213,-0.6249994643010954,-0.3908222223178855,0.4379983062586421,0.2307696365058129,-0.8270229542499197,-22.82842522559391,0.4087685015336127,2.382769702202705,0.9744928727998444,2022-07-28,10:40:27,-19.85561,-43.97738,EX5,,,,ponto extra em região com floração,,,0,2.0,3.17,313.4,0.091,28.72,9.28,7.11,114.2,0.13,0.16,337.3,219.0,15.08,7.81,21.295,0.15,4674,696.4,183,82.285
406,-19.8551516944444,-43.9778140277778,90.0,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0121.TIF,0.0352090617600264,0.0814563895324236,0.0830631124633487,0.0189321478096261,0.0360828118037751,0000SET_000_DJI_0121.T,440289904.2447255,212641.8713200928,545339.4545145038,inf,906049.6387091028,-0.5874806258663609,5.375961316075596,-0.4026924864140471,-0.6287641649434085,-0.3943089194913986,0.4344023566381107,0.2279248543446989,-0.8810855970549046,-24.41842952390763,0.3964097962169378,2.313506394677713,0.9806566009474534,2022-07-28,10:39:29,-19.85555,-43.97748,EX4,,,,ponto extra em região com floração,,,0,6.26,3.52,311.2,0.223,29.08,9.4,7.33,116.4,0.316,0.16,337.2,219.0,9.72,7.84,20.953,0.389,4674,696.3,182,56.409
407,-19.8551516944444,-43.9778140277778,90.0,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0121.TIF,0.0352090617600264,0.0814563895324236,0.0830631124633487,0.0189321478096261,0.0360828118037751,0000SET_000_DJI_0121.T,440289904.2447255,212641.8713200928,545339.4545145038,inf,906049.6387091028,-0.5874806258663609,5.375961316075596,-0.4026924864140471,-0.6287641649434085,-0.3943089194913986,0.4344023566381107,0.2279248543446989,-0.8810855970549046,-24.41842952390763,0.3964097962169378,2.313506394677713,0.9806566009474534,2022-07-28,10:40:27,-19.85561,-43.97738,EX5,,,,ponto extra em região com floração,,,0,2.0,3.17,313.4,0.091,28.72,9.28,7.11,114.2,0.13,0.16,337.3,219.0,15.08,7.81,21.295,0.15,4674,696.4,183,68.246
440,-19.8555933888889,-43.9779274444444,89.9,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0131.TIF,0.0356920698956429,0.0833043534187519,0.08411353347048,0.0197820894069151,0.0370196770838634,0000SET_000_DJI_0131.T,304023460.6720284,211343.38847455024,635431.3201582272,inf,963738.7730457818,-0.5812597011759217,5.407075488039231,-0.3957585873164621,-0.6191930158547776,-0.3887774143119001,0.4401155861185598,0.2351831933663529,-0.8341773203471026,-22.533349452437932,0.4001152488198309,2.3339737275624146,0.9903799065579372,2022-07-28,10:39:29,-19.85555,-43.97748,EX4,,,,ponto extra em região com floração,,,0,6.26,3.52,311.2,0.223,29.08,9.4,7.33,116.4,0.316,0.16,337.2,219.0,9.72,7.84,20.953,0.389,4674,696.3,182,47.044
441,-19.8555933888889,-43.9779274444444,89.9,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0131.TIF,0.0356920698956429,0.0833043534187519,0.08411353347048,0.0197820894069151,0.0370196770838634,0000SET_000_DJI_0131.T,304023460.6720284,211343.38847455024,635431.3201582272,inf,963738.7730457818,-0.5812597011759217,5.407075488039231,-0.3957585873164621,-0.6191930158547776,-0.3887774143119001,0.4401155861185598,0.2351831933663529,-0.8341773203471026,-22.533349452437932,0.4001152488198309,2.3339737275624146,0.9903799065579372,2022-07-28,10:40:27,-19.85561,-43.97738,EX5,,,,ponto extra em região com floração,,,0,2.0,3.17,313.4,0.091,28.72,9.28,7.11,114.2,0.13,0.16,337.3,219.0,15.08,7.81,21.295,0.15,4674,696.4,183,57.284
452,-19.8557576111111,-43.9779723888889,89.9,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0141.TIF,0.035411763569426,0.0820192903804019,0.0831645468212041,0.0192345309373673,0.0361870136289112,0000SET_000_DJI_0141.T,337787535.0871006,211490.09519520283,522118.0041961634,inf,818576.0973112314,-0.5822140502594301,5.3793751017127605,-0.4000435286254343,-0.6243221841759748,-0.3936063593565485,0.4351254832989092,0.2312828202950437,-0.8594642546413258,-23.750626770556902,0.3968926893127336,2.3161594372333423,0.986229030463373,2022-07-28,09:31:26,-19.8561,-43.97881,P6,,,,"sem nuvens, sem vento",,0.65,65,4.92,4.51,309.2,0.295,29.16,9.42,6.97,73.7,0.419,0.16,336.4,219.0,13.59,7.78,20.76,0.475,4674,696.4,160,95.517
474,-19.8557576111111,-43.9779723888889,89.9,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0141.TIF,0.035411763569426,0.0820192903804019,0.0831645468212041,0.0192345309373673,0.0361870136289112,0000SET_000_DJI_0141.T,337787535.0871006,211490.09519520283,522118.0041961634,inf,818576.0973112314,-0.5822140502594301,5.3793751017127605,-0.4000435286254343,-0.6243221841759748,-0.3936063593565485,0.4351254832989092,0.2312828202950437,-0.8594642546413258,-23.750626770556902,0.3968926893127336,2.3161594372333423,0.986229030463373,2022-07-28,10:39:29,-19.85555,-43.97748,EX4,,,,ponto extra em região com floração,,,0,6.26,3.52,311.2,0.223,29.08,9.4,7.33,116.4,0.316,0.16,337.2,219.0,9.72,7.84,20.953,0.389,4674,696.3,182,56.434
475,-19.8557576111111,-43.9779723888889,89.9,2022-07-28, _Pampulha_2022-07-28_0000SET_000_DJI_0141.TIF,0.035411763569426,0.0820192903804019,0.0831645468212041,0.0192345309373673,0.0361870136289112,0000SET_000_DJI_0141.T,337787535.0871006,211490.09519520283,522118.0041961634,inf,818576.0973112314,-0.5822140502594301,5.3793751017127605,-0.4000435286254343,-0.6243221841759748,-0.3936063593565485,0.4351254832989092,0.2312828202950437,-0.8594642546413258,-23.750626770556902,0.3968926893127336,2.3161594372333423,0.986229030463373,2022-07-28,10:40:27,-19.85561,-43.97738,EX5,,,,ponto extra em região com floração,,,0,2.0,3.17,313.4,0.091,28.72,9.28,7.11,114.2,0.13,0.16,337.3,219.0,15.08,7.81,21.295,0.15,4674,696.4,183,64.092
