,lat_d,long_d,Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
81,-19.8500810833333,-43.9838375833333,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_ignore_DJI_2791.TIF,0.0282836838207201,0.1300387641826262,0.1262250120365845,0.0611935066437414,0.1066833511904362,0000SET_ignore_DJI_2791.T,-0.7531702475910629,8.007044768409987,-0.1234295015810725,-0.3469854838825472,-0.0839027872395489,0.8451839256669317,0.4847969959076363,2.0285274045201285,19.01447022318492,0.6427078512565406,4.597660085825249,1.0302139178638885,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,40.529
86,-19.8500810833333,-43.9838375833333,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_ignore_DJI_2791.TIF,0.0282836838207201,0.1300387641826262,0.1262250120365845,0.0611935066437414,0.1066833511904362,0000SET_ignore_DJI_2791.T,-0.7531702475910629,8.007044768409987,-0.1234295015810725,-0.3469854838825472,-0.0839027872395489,0.8451839256669317,0.4847969959076363,2.0285274045201285,19.01447022318492,0.6427078512565406,4.597660085825249,1.0302139178638885,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,61.997
955,-19.8474459444444,-43.9919683611111,90.0,2022-08-24, _Pampulha_2022-08-24_0001SET_ignore_DJI_5891.TIF,0.059986772930379,0.151206573654318,0.1370957160540264,0.1272759643219377,0.2318803650119352,0001SET_ignore_DJI_5891.T,-0.5099576113663589,5.6148773735506765,0.4488050901731242,-0.0371437353582047,0.2568856189378959,1.6913757168061785,0.928373022770318,2.0436540933713814,8.813398638846337,0.4319255421588587,2.5206652444833004,1.102927049848376,2022-08-24,10:18:41,-19.84764,-43.99193,P0,,,,,,0.2,20,16.94,10.96,344.4,0.298,31.9,10.31,5.76,132.7,0.423,0.18,375.8,244.0,41.06,7.5,20.623,0.415,4674,700.0,211,21.948
987,-19.8475337222222,-43.99194625,89.9,2022-08-24, _Pampulha_2022-08-24_0001SET_ignore_DJI_5901.TIF,0.0597063750408951,0.1505971440942764,0.1358800566656514,0.1322039631494199,0.2337804964962682,0001SET_ignore_DJI_5901.T,-0.5058109307642,5.618071544694056,0.4655197413396197,-0.0137124679000535,0.2648387527238651,1.7204916029105888,0.9729460407477092,2.147171114532608,9.18456050317646,0.4321885312578233,2.522295885341002,1.108309400141318,2022-08-24,10:18:41,-19.84764,-43.99193,P0,,,,,,0.2,20,16.94,10.96,344.4,0.298,31.9,10.31,5.76,132.7,0.423,0.18,375.8,244.0,41.06,7.5,20.623,0.415,4674,700.0,211,11.939
1019,-19.8476001944444,-43.9919318611111,89.9,2022-08-24, _Pampulha_2022-08-24_0001SET_ignore_DJI_5911.TIF,0.0583538001191935,0.1451341389380251,0.1384285147967754,0.1177980498334348,0.2182396691010128,0001SET_ignore_DJI_5911.T,-0.5517290092014481,5.568683175221036,0.3922156500970575,-0.0805164952085072,0.2237686396135328,1.5765514021544391,0.8509666524008594,1.88727983771243,8.647739640949041,0.4264642868805601,2.487141174037921,1.0484410610855293,2022-08-24,10:18:41,-19.84764,-43.99193,P0,,,,,,0.2,20,16.94,10.96,344.4,0.298,31.9,10.31,5.76,132.7,0.423,0.18,375.8,244.0,41.06,7.5,20.623,0.415,4674,700.0,211,4.43
1051,-19.8476205277778,-43.9919289722222,89.9,2022-08-24, _Pampulha_2022-08-24_0001SET_ignore_DJI_5921.TIF,0.0571678293170632,0.1414641620382102,0.1350414928639452,0.0955228104576456,0.2037390636767633,0001SET_ignore_DJI_5921.T,-0.5504833339050772,5.552770502877387,0.3458535070010226,-0.1713998300559952,0.2027789655766838,1.5087145391826433,0.7073589637659381,1.430992262661008,7.023651904729032,0.4243844717358468,2.4745414287749874,1.047560709216506,2022-08-24,10:18:41,-19.84764,-43.99193,P0,,,,,,0.2,20,16.94,10.96,344.4,0.298,31.9,10.31,5.76,132.7,0.423,0.18,375.8,244.0,41.06,7.5,20.623,0.415,4674,700.0,211,2.168
1083,-19.8476178611111,-43.9919286388889,90.0,2022-08-24, _Pampulha_2022-08-24_0001SET_ignore_DJI_5931.TIF,0.0577322298197196,0.1434836708435811,0.136895343927285,0.1067800476017316,0.2069544997263031,0001SET_ignore_DJI_5931.T,-0.5517221133397484,5.56764368173715,0.3481790234671847,-0.123587762131357,0.2037492733880643,1.511771648247084,0.7800122673160469,1.6465924558390266,7.956301786221811,0.4261663255298666,2.4853304868292367,1.0481267421322644,2022-08-24,10:18:41,-19.84764,-43.99193,P0,,,,,,0.2,20,16.94,10.96,344.4,0.298,31.9,10.31,5.76,132.7,0.423,0.18,375.8,244.0,41.06,7.5,20.623,0.415,4674,700.0,211,2.466
1115,-19.8476490555556,-43.9919412777778,89.9,2022-08-24, _Pampulha_2022-08-24_0001SET_ignore_DJI_5941.TIF,0.0593203778763286,0.1354795504407321,0.1308926314808309,0.1095549450042606,0.2161465250832374,0001SET_ignore_DJI_5941.T,-0.5282882425551955,5.243748750914348,0.4376484854945395,-0.0887415327219707,0.2456607330610181,1.6513269130424033,0.8369832874840232,1.670763689257315,7.729773534938435,0.3909609886531638,2.283861891830502,1.0350433703410793,2022-08-24,10:18:41,-19.84764,-43.99193,P0,,,,,,0.2,20,16.94,10.96,344.4,0.298,31.9,10.31,5.76,132.7,0.423,0.18,375.8,244.0,41.06,7.5,20.623,0.415,4674,700.0,211,1.551
1147,-19.8477148055556,-43.9919682777778,90.0,2022-08-24, _Pampulha_2022-08-24_0001SET_ignore_DJI_5951.TIF,0.0568259835304819,0.1272364995950657,0.1314169427107708,0.061140841053985,0.1094295911524046,0001SET_ignore_DJI_5951.T,-0.5862386926524784,5.175725517315732,-0.1194559107592219,-0.3649611056109827,-0.0912919576034139,0.8326901303224112,0.46524321592648,0.1359010670883156,1.241904183842227,0.3825359457774853,2.239054947932666,0.9681894660652268,2022-08-24,10:18:41,-19.84764,-43.99193,P0,,,,,,0.2,20,16.94,10.96,344.4,0.298,31.9,10.31,5.76,132.7,0.423,0.18,375.8,244.0,41.06,7.5,20.623,0.415,4674,700.0,211,9.231
1179,-19.8477952222222,-43.9920000277778,90.0,2022-08-24, _Pampulha_2022-08-24_0001SET_ignore_DJI_5961.TIF,0.0575377438924021,0.1424718732902197,0.1311258783708843,0.0655700073285725,0.2309148396446195,0001SET_ignore_DJI_5961.T,-0.5165099101952625,5.554189308879027,0.498920815305703,-0.3332854208373146,0.275629111058889,1.7610165324611675,0.5000539034950093,0.4916224720477129,2.129020693535008,0.4246502272951566,2.4761463285152066,1.0865275036499182,2022-08-24,10:18:41,-19.84764,-43.99193,P0,,,,,,0.2,20,16.94,10.96,344.4,0.298,31.9,10.31,5.76,132.7,0.423,0.18,375.8,244.0,41.06,7.5,20.623,0.415,4674,700.0,211,18.75
1298,-19.8508152222222,-43.9851806111111,89.6,2022-08-24, _Pampulha_2022-08-24_0001SET_ignore_DJI_7021.TIF,0.0632384577220448,0.1739333657820538,0.1322363895442354,0.0750583146390868,0.149786076659766,0001SET_ignore_DJI_7021.T,-0.3966917532582452,5.936186287551298,0.073995666332714,-0.2758298873597024,0.0622279754933992,1.1327145060147,0.5676071079812601,0.3729954950700893,2.4901880294076726,0.466728747220245,2.7504365547077687,1.315321496461986,2022-08-24,09:59:02,-19.85097,-43.98486,B5,,,,,,0.3,30,5.72,7.07,330.9,0.168,28.84,9.32,7.54,114.0,0.238,0.17,357.4,232.0,36.41,7.85,21.117,0.326,4674,699.9,202,37.691
1299,-19.8508152222222,-43.9851806111111,89.6,2022-08-24, _Pampulha_2022-08-24_0001SET_ignore_DJI_7021.TIF,0.0632384577220448,0.1739333657820538,0.1322363895442354,0.0750583146390868,0.149786076659766,0001SET_ignore_DJI_7021.T,-0.3966917532582452,5.936186287551298,0.073995666332714,-0.2758298873597024,0.0622279754933992,1.1327145060147,0.5676071079812601,0.3729954950700893,2.4901880294076726,0.466728747220245,2.7504365547077687,1.315321496461986,2022-08-24,10:00:23,-19.85121,-43.98505,B6,,,,,,0.3,30,3.93,12.23,330.8,0.167,27.58,8.91,8.06,110.7,0.237,0.17,352.4,229.0,40.13,7.93,21.791,0.283,4674,700.0,203,45.974
1300,-19.8508152222222,-43.9851806111111,89.6,2022-08-24, _Pampulha_2022-08-24_0001SET_ignore_DJI_7021.TIF,0.0632384577220448,0.1739333657820538,0.1322363895442354,0.0750583146390868,0.149786076659766,0001SET_ignore_DJI_7021.T,-0.3966917532582452,5.936186287551298,0.073995666332714,-0.2758298873597024,0.0622279754933992,1.1327145060147,0.5676071079812601,0.3729954950700893,2.4901880294076726,0.466728747220245,2.7504365547077687,1.315321496461986,2022-08-24,10:01:50,-19.85122,-43.98524,B3,,,,,,0.2,20,12.48,7.99,334.5,0.129,24.94,8.05,6.38,114.9,0.183,0.18,368.7,240.0,53.49,7.7,20.145,0.264,4674,700.0,204,45.436
1301,-19.8508152222222,-43.9851806111111,89.6,2022-08-24, _Pampulha_2022-08-24_0001SET_ignore_DJI_7021.TIF,0.0632384577220448,0.1739333657820538,0.1322363895442354,0.0750583146390868,0.149786076659766,0001SET_ignore_DJI_7021.T,-0.3966917532582452,5.936186287551298,0.073995666332714,-0.2758298873597024,0.0622279754933992,1.1327145060147,0.5676071079812601,0.3729954950700893,2.4901880294076726,0.466728747220245,2.7504365547077687,1.315321496461986,2022-08-24,10:03:26,-19.85076,-43.98491,B2,,,,,,0.3,30,15.2,9.02,336.0,0.157,32.9,10.64,6.68,119.8,0.223,0.18,372.5,242.0,67.8,7.65,19.877,0.442,4674,700.0,205,28.961
