,lat_d,long_d,Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
47,-19.8530030277778,-43.9805685833333,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2751.TIF,0.0269365159948897,0.1377425665255034,0.1339717369774971,0.0260485221917825,0.0543408441143298,0000SET_000_DJI_2751.T,-0.7770671309713801,8.416879368864265,-0.4835519584177072,-0.6744346956190501,-0.4228654952391995,0.4056142387961821,0.1944329660826731,-0.0687720235222686,-1.2655678181512329,0.672860504411008,5.113599938152189,1.0281464556113031,2022-08-24,09:53:12,-19.85255,-43.98122,A18,,,,,,0.6,60,3.07,4.97,323.9,0.319,29.27,9.46,7.25,114.1,0.453,0.17,349.1,227.0,13.81,7.89,21.218,0.404,4674,699.9,199,84.73
79,-19.8523291944444,-43.9813195555556,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2761.TIF,0.0530226662647663,0.1316540803461184,0.1267110337444519,0.0500521942045091,0.1024729973509408,0000SET_000_DJI_2761.T,-0.5597119913485322,5.57767844784306,-0.1312457406702145,-0.4336809212495114,-0.1057579634918916,0.8087140821343637,0.3950105426923854,-0.1146965164670471,-1.1192852696037008,0.4257786403776599,2.482977368371286,1.0390103880900816,2022-08-24,09:53:12,-19.85255,-43.98122,A18,,,,,,0.6,60,3.07,4.97,323.9,0.319,29.27,9.46,7.25,114.1,0.453,0.17,349.1,227.0,13.81,7.89,21.218,0.404,4674,699.9,199,26.669
145,-19.849709,-43.9842497777778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2801.TIF,0.0291458186056047,0.1300869208001765,0.1283692338220733,0.0591481823774075,0.1072476810546505,0000SET_000_DJI_2801.T,-0.7627470510189367,7.890140465946126,-0.1326457916019244,-0.3691446525213878,-0.0896436182371444,0.8354625003316729,0.4607660310521918,1.866490234358057,17.40354864555947,0.6339217837440971,4.463313333568918,1.0133808306473495,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,48.026
150,-19.849709,-43.9842497777778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2801.TIF,0.0291458186056047,0.1300869208001765,0.1283692338220733,0.0591481823774075,0.1072476810546505,0000SET_000_DJI_2801.T,-0.7627470510189367,7.890140465946126,-0.1326457916019244,-0.3691446525213878,-0.0896436182371444,0.8354625003316729,0.4607660310521918,1.866490234358057,17.40354864555947,0.6339217837440971,4.463313333568918,1.0133808306473495,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,3.163
177,-19.8497937222222,-43.9842522777778,49.4,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2811.TIF,0.0569999257651387,0.1562156353965577,0.1401169856375059,0.0587531390542972,0.1085401559280945,0000SET_000_DJI_2811.T,-0.5320662023450614,5.9393010917442,-0.1480981478901742,-0.4091305655351777,-0.1269894341686576,0.7746395302058292,0.419314894528893,0.0568224336236296,0.5235153122616971,0.4653305278978991,2.74062875169742,1.11489434836045,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,38.652
182,-19.8497937222222,-43.9842522777778,49.4,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2811.TIF,0.0569999257651387,0.1562156353965577,0.1401169856375059,0.0587531390542972,0.1085401559280945,0000SET_000_DJI_2811.T,-0.5320662023450614,5.9393010917442,-0.1480981478901742,-0.4091305655351777,-0.1269894341686576,0.7746395302058292,0.419314894528893,0.0568224336236296,0.5235153122616971,0.4653305278978991,2.74062875169742,1.11489434836045,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,9.751
209,-19.8498903055556,-43.984238,32.8,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2821.TIF,0.0851849506802961,0.1653915703854468,0.1329251215388414,0.0551799527683361,0.110281495318134,0000SET_000_DJI_2821.T,-0.2886493595005254,4.572064985014245,-0.0903661130117073,-0.4133071319678844,-0.0931044825726251,0.8296512656255814,0.4151205741212148,-0.703966586959197,-6.383360915885596,0.3200883281642622,1.9415585624527816,1.244246147535916,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,27.829
214,-19.8498903055556,-43.984238,32.8,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2821.TIF,0.0851849506802961,0.1653915703854468,0.1329251215388414,0.0551799527683361,0.110281495318134,0000SET_000_DJI_2821.T,-0.2886493595005254,4.572064985014245,-0.0903661130117073,-0.4133071319678844,-0.0931044825726251,0.8296512656255814,0.4151205741212148,-0.703966586959197,-6.383360915885596,0.3200883281642622,1.9415585624527816,1.244246147535916,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,20.525
241,-19.8501289444444,-43.9842085555556,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2831.TIF,0.0586374886282068,0.1472486077936019,0.1370889362252649,0.039686814288526,0.0973060046764291,0000SET_000_DJI_2831.T,-0.5327822705598911,5.6042489297254185,-0.1932278684196849,-0.5509925521664818,-0.169726067447509,0.7098020260113158,0.2894968432996848,-0.792396792457656,-8.143349375946602,0.4303890389171945,2.511168387978504,1.0741100766267715,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,1.716
246,-19.8501289444444,-43.9842085555556,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2831.TIF,0.0586374886282068,0.1472486077936019,0.1370889362252649,0.039686814288526,0.0973060046764291,0000SET_000_DJI_2831.T,-0.5327822705598911,5.6042489297254185,-0.1932278684196849,-0.5509925521664818,-0.169726067447509,0.7098020260113158,0.2894968432996848,-0.792396792457656,-8.143349375946602,0.4303890389171945,2.511168387978504,1.0741100766267715,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,47.18
273,-19.8496933611111,-43.9842725,87.4,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2841.TIF,0.0291086575696607,0.1396177674872599,0.1274542999205404,0.057634407175678,0.1061614645651138,0000SET_000_DJI_2841.T,-0.7043920277543022,8.162434384979012,-0.1261973952701442,-0.3772239475883664,-0.0911446853867352,0.8329374892122015,0.4521966478307077,1.8050945686163735,17.00329376587702,0.654960299670419,4.796434433746624,1.0954339522032812,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,49.967
