,lat_d,long_d,Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
47,-19.8530030277778,-43.9805685833333,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2751.TIF,0.0230411739663866,0.1175123750260171,0.1142607660105694,0.0224556381923237,0.0469895631131336,0000SET_000_DJI_2751.T,-0.7762551988587322,8.43188164739138,-0.4786161813749116,-0.671500456390024,-0.4171849028960975,0.4112484517107731,0.1965297361147263,-0.0531771228267779,-1.1316794475987564,0.6721367175490977,5.100103631761511,1.0284577911471984,2022-08-24,09:53:12,-19.85255,-43.98122,A18,,,,,,0.6,60,3.07,4.97,323.9,0.319,29.27,9.46,7.25,114.1,0.453,0.17,349.1,227.0,13.81,7.89,21.218,0.404,4674,699.9,199,84.73
79,-19.8523291944444,-43.9813195555556,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2761.TIF,0.0454221613991434,0.1131372984689371,0.1089649830151898,0.043637985672917,0.0891021790769446,0000SET_000_DJI_2761.T,-0.5616434409868172,5.614316344842015,-0.1252703809332524,-0.428084708337421,-0.100283175304979,0.8177138802887134,0.4004771483957725,-0.0802035257334528,-0.9001297899144838,0.4270646300519177,2.4907951313622583,1.0382904244858706,2022-08-24,09:53:12,-19.85255,-43.98122,A18,,,,,,0.6,60,3.07,4.97,323.9,0.319,29.27,9.46,7.25,114.1,0.453,0.17,349.1,227.0,13.81,7.89,21.218,0.404,4674,699.9,199,26.669
145,-19.849709,-43.9842497777778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2801.TIF,0.025107216148049,0.1128913870963638,0.1104141548573308,0.0510503006354164,0.093206153502546,0000SET_000_DJI_2801.T,-0.7556549786784356,7.941899921370261,-0.1246969241007988,-0.3676589627156731,-0.0845102411119598,0.8441504046558185,0.4623528631938532,1.8865543881253173,20.240663488744705,0.6361236192574939,4.496372135830608,1.022435821224497,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,48.026
150,-19.849709,-43.9842497777778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2801.TIF,0.025107216148049,0.1128913870963638,0.1104141548573308,0.0510503006354164,0.093206153502546,0000SET_000_DJI_2801.T,-0.7556549786784356,7.941899921370261,-0.1246969241007988,-0.3676589627156731,-0.0845102411119598,0.8441504046558185,0.4623528631938532,1.8865543881253173,20.240663488744705,0.6361236192574939,4.496372135830608,1.022435821224497,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,3.163
177,-19.8497937222222,-43.9842522777778,49.4,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2811.TIF,0.0494781955781342,0.1332822820255034,0.1199185489361348,0.0504677439361662,0.0929909577069787,0000SET_000_DJI_2811.T,-0.5285050067234136,5.896738407934486,-0.1473381530965102,-0.4076079350586007,-0.1264743489086802,0.7754509917936302,0.4208501885979614,0.0368510612376844,0.3962865008209171,0.458546002648995,2.69375793656478,1.11144008335596,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,38.652
182,-19.8497937222222,-43.9842522777778,49.4,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2811.TIF,0.0494781955781342,0.1332822820255034,0.1199185489361348,0.0504677439361662,0.0929909577069787,0000SET_000_DJI_2811.T,-0.5285050067234136,5.896738407934486,-0.1473381530965102,-0.4076079350586007,-0.1264743489086802,0.7754509917936302,0.4208501885979614,0.0368510612376844,0.3962865008209171,0.458546002648995,2.69375793656478,1.11144008335596,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,9.751
209,-19.8498903055556,-43.984238,32.8,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2821.TIF,0.0754967041154561,0.1433977887926084,0.1142607819597472,0.0486830140674035,0.0968255295029568,0000SET_000_DJI_2821.T,-0.2703254922595378,4.508383260860012,-0.0796513983753497,-0.4024563652697568,-0.0825977408765843,0.8474082519150564,0.4260693234582797,-0.7063842617134509,-7.295434017656261,0.3102000592845919,1.8993913770502096,1.2550044410086905,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,27.829
214,-19.8498903055556,-43.984238,32.8,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2821.TIF,0.0754967041154561,0.1433977887926084,0.1142607819597472,0.0486830140674035,0.0968255295029568,0000SET_000_DJI_2821.T,-0.2703254922595378,4.508383260860012,-0.0796513983753497,-0.4024563652697568,-0.0825977408765843,0.8474082519150564,0.4260693234582797,-0.7063842617134509,-7.295434017656261,0.3102000592845919,1.8993913770502096,1.2550044410086905,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,20.525
241,-19.8501289444444,-43.9842085555556,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2831.TIF,0.0496477236752552,0.1231819185313743,0.1152363093145597,0.0334995294640338,0.0822701563572027,0000SET_000_DJI_2831.T,-0.5324530289938548,5.58537122921321,-0.190743627866473,-0.5495432743160064,-0.1669117658767877,0.7139256441529245,0.2907029013970794,-0.7987819426361756,-9.70925519052138,0.4254721234000126,2.4811191614162382,1.0689505700423425,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,1.716
246,-19.8501289444444,-43.9842085555556,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2831.TIF,0.0496477236752552,0.1231819185313743,0.1152363093145597,0.0334995294640338,0.0822701563572027,0000SET_000_DJI_2831.T,-0.5324530289938548,5.58537122921321,-0.190743627866473,-0.5495432743160064,-0.1669117658767877,0.7139256441529245,0.2907029013970794,-0.7987819426361756,-9.70925519052138,0.4254721234000126,2.4811191614162382,1.0689505700423425,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,47.18
