,lat_d,long_d,Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
47,-19.8530030277778,-43.9805685833333,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2751.TIF,0.0287293473155175,0.1477349291665531,0.1436352341180217,0.0278101251069763,0.0578648799683186,0000SET_000_DJI_2751.T,3.9409660381469146e+17,8591185009.07331,1.054293960693352e+21,inf,84708345449.15704,-0.7777841533532117,8.427725647052243,-0.4860493911832499,-0.6755803104535549,-0.4256590848030566,0.4028599272569318,0.1936163175960389,-0.0665743389468002,-1.150513731010072,0.6743890844282412,5.142300225064892,1.0285424051675425,2022-08-24,09:53:12,-19.85255,-43.98122,A18,,,,,,0.6,60,3.07,4.97,323.9,0.319,29.27,9.46,7.25,114.1,0.453,0.17,349.1,227.0,13.81,7.89,21.218,0.404,4674,699.9,199,84.73
79,-19.8523291944444,-43.9813195555556,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2761.TIF,0.0569899809057868,0.1407636659264119,0.1360586107791847,0.0538847344365228,0.1097824528975916,0000SET_000_DJI_2761.T,140728806.14021552,49920.37239169542,3231163293.6808963,inf,41932892953741.74,-0.5617119258227704,5.5462827635438,-0.1328731899639221,-0.4326230868964735,-0.1068827049826799,0.8068761857032496,0.3960406043243718,-0.1110106762955652,-1.011187793363657,0.4236264987401733,2.469972154563727,1.034581090607071,2022-08-24,09:53:12,-19.85255,-43.98122,A18,,,,,,0.6,60,3.07,4.97,323.9,0.319,29.27,9.46,7.25,114.1,0.453,0.17,349.1,227.0,13.81,7.89,21.218,0.404,4674,699.9,199,26.669
145,-19.849709,-43.9842497777778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2801.TIF,0.0322939635997076,0.1474748641036935,0.1444069503083898,0.0664140366325765,0.1202777432492122,0000SET_000_DJI_2801.T,28012011.16455125,67718.07435372849,8.015831386206853e+18,inf,36477922751031.125,-0.7602175963346036,7.960238644012146,-0.1342235323411472,-0.3699485274568642,-0.0911620794344365,0.8329082706362249,0.4599088651255725,1.9134362358936023,15.90848135493376,0.6407167581579928,4.566638704733934,1.0212449178433032,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,48.026
150,-19.849709,-43.9842497777778,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2801.TIF,0.0322939635997076,0.1474748641036935,0.1444069503083898,0.0664140366325765,0.1202777432492122,0000SET_000_DJI_2801.T,28012011.16455125,67718.07435372849,8.015831386206853e+18,inf,36477922751031.125,-0.7602175963346036,7.960238644012146,-0.1342235323411472,-0.3699485274568642,-0.0911620794344365,0.8329082706362249,0.4599088651255725,1.9134362358936023,15.90848135493376,0.6407167581579928,4.566638704733934,1.0212449178433032,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,3.163
177,-19.8497937222222,-43.9842522777778,49.4,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2811.TIF,0.0610611833040997,0.16827635706693,0.1507418800761882,0.0633056706200151,0.1163786548072614,0000SET_000_DJI_2811.T,326244702.3180324,275543.49933403265,78401603310.04425,inf,26910369522100.32,-0.5329369992031561,5.949244728158907,-0.1498368963639047,-0.4084896518169969,-0.1286431433806472,0.772039294908894,0.4199607341239147,0.0675744716005765,0.580643174751323,0.4674994490190053,2.7558646583848923,1.1163212040468085,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,38.652
182,-19.8497937222222,-43.9842522777778,49.4,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2811.TIF,0.0610611833040997,0.16827635706693,0.1507418800761882,0.0633056706200151,0.1163786548072614,0000SET_000_DJI_2811.T,326244702.3180324,275543.49933403265,78401603310.04425,inf,26910369522100.32,-0.5329369992031561,5.949244728158907,-0.1498368963639047,-0.4084896518169969,-0.1286431433806472,0.772039294908894,0.4199607341239147,0.0675744716005765,0.580643174751323,0.4674994490190053,2.7558646583848923,1.1163212040468085,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,9.751
209,-19.8498903055556,-43.984238,32.8,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2821.TIF,0.0888619172921008,0.1772445824844708,0.1424358702892145,0.0589519853221879,0.1178525259843079,0000SET_000_DJI_2821.T,145392492.86204225,62581.26802917786,4827903.297678594,inf,61751944099775.79,-0.3022600310043753,4.667196840352892,-0.0923816003199744,-0.4145427970995279,-0.0944465625700553,0.8274076308517624,0.4138844042760193,-0.672884006481176,-5.709542505442528,0.3321326809626141,1.9946067774099965,1.244381644346874,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,27.829
214,-19.8498903055556,-43.984238,32.8,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2821.TIF,0.0888619172921008,0.1772445824844708,0.1424358702892145,0.0589519853221879,0.1178525259843079,0000SET_000_DJI_2821.T,145392492.86204225,62581.26802917786,4827903.297678594,inf,61751944099775.79,-0.3022600310043753,4.667196840352892,-0.0923816003199744,-0.4145427970995279,-0.0944465625700553,0.8274076308517624,0.4138844042760193,-0.672884006481176,-5.709542505442528,0.3321326809626141,1.9946067774099965,1.244381644346874,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,20.525
241,-19.8501289444444,-43.9842085555556,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2831.TIF,0.0630304787856289,0.1581656892288041,0.1472074509663219,0.0424461974492595,0.1038732465224868,0000SET_000_DJI_2831.T,1285091309292.4077,649631.2921997145,11610077641.04508,inf,3033690340791229.0,-0.5322075387596973,5.589955455372185,-0.1959084772255527,-0.5523819572798447,-0.1725907442397742,0.7056249248297283,0.2883427243025241,-0.7991899584420742,-7.693896024218931,0.4300942972799043,2.509352495429025,1.0744407853715858,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,1.716
246,-19.8501289444444,-43.9842085555556,90.0,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2831.TIF,0.0630304787856289,0.1581656892288041,0.1472074509663219,0.0424461974492595,0.1038732465224868,0000SET_000_DJI_2831.T,1285091309292.4077,649631.2921997145,11610077641.04508,inf,3033690340791229.0,-0.5322075387596973,5.589955455372185,-0.1959084772255527,-0.5523819572798447,-0.1725907442397742,0.7056249248297283,0.2883427243025241,-0.7991899584420742,-7.693896024218931,0.4300942972799043,2.509352495429025,1.0744407853715858,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,47.18
273,-19.8496933611111,-43.9842725,87.4,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2841.TIF,0.0316869058791766,0.1534649066022232,0.1403230499476883,0.0635132903240893,0.1167057324981145,0000SET_000_DJI_2841.T,22554672.313274045,50228.18743969247,1.5552808244951793e+18,inf,23203217808919.37,-0.7078891615924517,8.18550478469579,-0.1275565015165399,-0.3768207353074901,-0.0918858861830143,0.8316932431387558,0.4526219345130163,1.8455892308285509,15.81404093289392,0.6577197332879489,4.843164781925721,1.0936542974189496,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,49.967
278,-19.8496933611111,-43.9842725,87.4,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2841.TIF,0.0316869058791766,0.1534649066022232,0.1403230499476883,0.0635132903240893,0.1167057324981145,0000SET_000_DJI_2841.T,22554672.313274045,50228.18743969247,1.5552808244951793e+18,inf,23203217808919.37,-0.7078891615924517,8.18550478469579,-0.1275565015165399,-0.3768207353074901,-0.0918858861830143,0.8316932431387558,0.4526219345130163,1.8455892308285509,15.81404093289392,0.6577197332879489,4.843164781925721,1.0936542974189496,2022-08-24,10:04:55,-19.84971,-43.98428,B1,,,,,,0.3,30,12.32,9.09,334.6,0.141,33.2,10.74,6.91,121.9,0.201,0.18,369.5,240.0,31.66,7.67,20.055,0.395,4674,699.9,206,2.01
305,-19.8497307777778,-43.9842625833333,89.9,2022-08-24, _Pampulha_2022-08-24_0000SET_000_DJI_2851.TIF,0.0313775001647511,0.151956818568295,0.1440128642870851,0.0613199433170177,0.1139574890608338,0000SET_000_DJI_2851.T,105210910.68386728,117715.1847932655,2.2389398984247923e+19,inf,34630740093268.863,-0.7412327079729661,8.186836348483034,-0.1639375291759479,-0.40272629559279,-0.1165070901993,0.7913007606991495,0.425794901174789,1.7734135395316837,15.56206225801434,0.6577018380236815,4.842859302698705,1.055161421311459,2022-08-24,09:57:21,-19.85014,-43.98422,B4,,,,,,0.4,40,7.06,10.15,332.0,0.187,29.12,9.41,7.36,115.5,0.266,0.17,358.8,233.0,22.77,7.82,21.091,0.364,4674,700.0,201,45.721
