Latitude,Longitude,Degree,DateTime,Image Index
-19.85380875,-43.9796630277778,89.9,2022:08:24 08:37:50, _Pampulha_2022-08-24_0000SET_000_DJI_2741.TIF
-19.8530030277778,-43.9805685833333,89.9,2022:08:24 08:38:03, _Pampulha_2022-08-24_0000SET_000_DJI_2751.TIF
-19.8523291944444,-43.9813195555556,89.9,2022:08:24 08:38:14, _Pampulha_2022-08-24_0000SET_000_DJI_2761.TIF
-19.8514296388889,-43.9823246111111,90.0,2022:08:24 08:38:28, _Pampulha_2022-08-24_0000SET_000_DJI_2771.TIF
-19.849709,-43.9842497777778,89.9,2022:08:24 08:38:56, _Pampulha_2022-08-24_0000SET_000_DJI_2801.TIF
-19.8497937222222,-43.9842522777778,49.4,2022:08:24 08:39:06, _Pampulha_2022-08-24_0000SET_000_DJI_2811.TIF
-19.8498903055556,-43.984238,32.8,2022:08:24 08:39:08, _Pampulha_2022-08-24_0000SET_000_DJI_2821.TIF
-19.8501289444444,-43.9842085555556,90.0,2022:08:24 08:39:20, _Pampulha_2022-08-24_0000SET_000_DJI_2831.TIF
-19.8496933611111,-43.9842725,87.4,2022:08:24 08:39:39, _Pampulha_2022-08-24_0000SET_000_DJI_2841.TIF
-19.8497307777778,-43.9842625833333,89.9,2022:08:24 08:40:05, _Pampulha_2022-08-24_0000SET_000_DJI_2851.TIF
-19.8498956388889,-43.9842408333333,90.0,2022:08:24 08:40:08, _Pampulha_2022-08-24_0000SET_000_DJI_2861.TIF
-19.8501220555556,-43.98420975,89.9,2022:08:24 08:40:12, _Pampulha_2022-08-24_0000SET_000_DJI_2871.TIF
-19.8501232222222,-43.9842111388889,89.9,2022:08:24 08:40:14, _Pampulha_2022-08-24_0000SET_000_DJI_2881.TIF
-19.8501690277778,-43.9842617777778,89.9,2022:08:24 08:40:18, _Pampulha_2022-08-24_0000SET_000_DJI_2891.TIF
-19.8502684444444,-43.9843695833333,90.0,2022:08:24 08:40:20, _Pampulha_2022-08-24_0000SET_000_DJI_2901.TIF
-19.8503784444444,-43.9844898888889,90.0,2022:08:24 08:40:22, _Pampulha_2022-08-24_0000SET_000_DJI_2911.TIF
-19.8506028055556,-43.9847413888889,89.9,2022:08:24 08:40:27, _Pampulha_2022-08-24_0000SET_000_DJI_2921.TIF
-19.8507491111111,-43.9849056388889,89.9,2022:08:24 08:40:32, _Pampulha_2022-08-24_0000SET_000_DJI_2931.TIF
-19.8500869444444,-43.9844725,89.9,2022:08:24 08:41:03, _Pampulha_2022-08-24_0000SET_000_DJI_2941.TIF
-19.8498551666667,-43.9843503888889,89.9,2022:08:24 08:41:06, _Pampulha_2022-08-24_0000SET_000_DJI_2951.TIF
-19.84970225,-43.9842650833333,89.9,2022:08:24 08:41:10, _Pampulha_2022-08-24_0000SET_000_DJI_2961.TIF
-19.8499257777778,-43.9842402222222,90.0,2022:08:24 08:41:17, _Pampulha_2022-08-24_0000SET_000_DJI_2971.TIF
-19.850061,-43.984212,90.0,2022:08:24 08:41:19, _Pampulha_2022-08-24_0000SET_000_DJI_2981.TIF
-19.8501292222222,-43.9841970555556,90.0,2022:08:24 08:41:21, _Pampulha_2022-08-24_0000SET_000_DJI_2991.TIF
-19.8501458055556,-43.9842215277778,90.0,2022:08:24 08:41:24, _Pampulha_2022-08-24_0000SET_000_DJI_3001.TIF
-19.8502457222222,-43.9843322222222,90.0,2022:08:24 08:41:26, _Pampulha_2022-08-24_0000SET_000_DJI_3011.TIF
-19.8503474444444,-43.9844501666667,89.9,2022:08:24 08:41:28, _Pampulha_2022-08-24_0000SET_000_DJI_3021.TIF
