Latitude,Longitude,Altitude,Gimbal Degree,DateTime,Image Index
-19.8554884166667,-43.9782168055556,855.895,90.0,2022:12:06 08:32:14, _Pampulha_2022-12-06_0000SET_000_DJI_1221.TIF
-19.8552013333333,-43.9785158055556,855.872,90.0,2022:12:06 08:32:18, _Pampulha_2022-12-06_0000SET_000_DJI_1231.TIF
-19.8549966944444,-43.9787339722222,855.802,89.9,2022:12:06 08:32:21, _Pampulha_2022-12-06_0000SET_000_DJI_1241.TIF
-19.8547733888889,-43.9789683333333,855.83,90.0,2022:12:06 08:32:25, _Pampulha_2022-12-06_0000SET_000_DJI_1251.TIF
-19.8544393888889,-43.9793145,856.131,90.0,2022:12:06 08:32:30, _Pampulha_2022-12-06_0000SET_000_DJI_1261.TIF
-19.8539157222222,-43.9798653333333,856.436,90.0,2022:12:06 08:32:38, _Pampulha_2022-12-06_0000SET_000_DJI_1271.TIF
-19.85296125,-43.9808649444444,856.151,90.0,2022:12:06 08:32:53, _Pampulha_2022-12-06_0000SET_000_DJI_1281.TIF
-19.8527313055556,-43.98111025,856.011,90.0,2022:12:06 08:32:57, _Pampulha_2022-12-06_0000SET_000_DJI_1291.TIF
-19.8526553333333,-43.9811908055556,855.861,90.0,2022:12:06 08:32:58, _Pampulha_2022-12-06_0000SET_000_DJI_1301.TIF
-19.8524682222222,-43.9813869444444,855.496,89.9,2022:12:06 08:33:01, _Pampulha_2022-12-06_0000SET_000_DJI_1311.TIF
-19.8499376111111,-43.9840504166667,855.147,89.9,2022:12:06 08:33:40, _Pampulha_2022-12-06_0000SET_000_DJI_1321.TIF
-19.849839,-43.98415175,855.117,89.9,2022:12:06 08:33:42, _Pampulha_2022-12-06_0000SET_000_DJI_1331.TIF
-19.8497229722222,-43.9842761111111,855.059,90.0,2022:12:06 08:33:44, _Pampulha_2022-12-06_0000SET_000_DJI_1341.TIF
-19.8497267222222,-43.9842855,854.664,89.9,2022:12:06 08:33:50, _Pampulha_2022-12-06_0000SET_000_DJI_1351.TIF
-19.8501418055556,-43.9842303055556,854.617,90.0,2022:12:06 08:33:58, _Pampulha_2022-12-06_0000SET_000_DJI_1381.TIF
-19.8501431944444,-43.9842345833333,854.351,89.9,2022:12:06 08:33:59, _Pampulha_2022-12-06_0000SET_000_DJI_1391.TIF
-19.8501734444444,-43.9842703055556,854.233,90.0,2022:12:06 08:34:01, _Pampulha_2022-12-06_0000SET_000_DJI_1401.TIF
-19.8501691944444,-43.9842626111111,853.265,89.9,2022:12:06 08:34:08, _Pampulha_2022-12-06_0000SET_000_DJI_1411.TIF
-19.8505145277778,-43.9846461111111,853.399,89.9,2022:12:06 08:34:16, _Pampulha_2022-12-06_0000SET_000_DJI_1421.TIF
-19.8506108611111,-43.9847543055556,853.082,89.9,2022:12:06 08:34:18, _Pampulha_2022-12-06_0000SET_000_DJI_1431.TIF
-19.850744,-43.9849033055556,853.099,90.0,2022:12:06 08:34:21, _Pampulha_2022-12-06_0000SET_000_DJI_1441.TIF
-19.8507576111111,-43.9849195277778,853.374,89.9,2022:12:06 08:34:22, _Pampulha_2022-12-06_0000SET_000_DJI_1451.TIF
-19.8507561944444,-43.9849160833333,853.788,90.0,2022:12:06 08:34:24, _Pampulha_2022-12-06_0000SET_000_DJI_1461.TIF
-19.8509696666667,-43.9848691388889,854.339,90.0,2022:12:06 08:34:29, _Pampulha_2022-12-06_0000SET_000_DJI_1471.TIF
-19.8509638333333,-43.9848713333333,854.481,90.0,2022:12:06 08:34:31, _Pampulha_2022-12-06_0000SET_000_DJI_1481.TIF
-19.8510026388889,-43.9849253888889,854.544,89.9,2022:12:06 08:34:32, _Pampulha_2022-12-06_0000SET_000_DJI_1491.TIF
-19.8510681388889,-43.9850234166667,854.176,90.0,2022:12:06 08:34:34, _Pampulha_2022-12-06_0000SET_000_DJI_1501.TIF
-19.8511352777778,-43.9851255833333,853.823,89.9,2022:12:06 08:34:35, _Pampulha_2022-12-06_0000SET_000_DJI_1511.TIF
-19.8511896111111,-43.9852096944444,853.855,90.0,2022:12:06 08:34:37, _Pampulha_2022-12-06_0000SET_000_DJI_1521.TIF
-19.8512127777778,-43.9852470833333,853.889,89.9,2022:12:06 08:34:38, _Pampulha_2022-12-06_0000SET_000_DJI_1531.TIF
