,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
4766,-18.7010932,-45.1971171,679.288,2021-05-05, _Campo2021-05_0000SET_000_IMG_0163,0.0114627934649359,0.0156353296360754,0.005524187753526,0.0033195653505614,0.0009879080651483,0000SET_000_IMG_0163,0.379819667997773,3.5583964926356213,-0.1674019883763981,-0.2492858379261706,-0.6965928964634266,0.1788331804105923,0.6009146500211863,-0.2114177475376326,-214.0054879559017,0.1539787887000846,1.3640069223879046,2.830340012628213,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,99.738
5306,-18.7016683,-45.1969245,683.52,2021-05-05, _Campo2021-05_0000SET_000_IMG_0181,0.0106850736140114,0.015139754418603,0.005417949354864,0.0035990635948841,0.0008384404510626,0000SET_000_IMG_0181,0.3479002441859567,3.713465421183786,-0.1773296959816305,-0.2017171063318382,-0.7319730780622539,0.1547523603759574,0.6642852044478814,-0.1544923380797414,-184.2615511739028,0.1724960491107915,1.4169068895089454,2.7943698670810173,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,95.559
5336,-18.7015297,-45.1969078,683.185,2021-05-05, _Campo2021-05_0000SET_000_IMG_0182,0.0107111160529086,0.0151734545845169,0.0054275980512244,0.0036320249359585,0.0008387925399393,0000SET_000_IMG_0182,0.3482079820554206,3.712278947645439,-0.1772795684178869,-0.1981951255373636,-0.7322884592856087,0.1545421256369709,0.6691772127707871,-0.1526330262998039,-181.96755339627768,0.1723937628370924,1.4166081769225674,2.7956113259149604,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,86.224
5366,-18.7013309,-45.1968854,682.877,2021-05-05, _Campo2021-05_0000SET_000_IMG_0183,0.0107246229722784,0.0151935835706313,0.0054098160392063,0.0035550463484687,0.0008476729585303,0000SET_000_IMG_0183,0.3498060157016181,3.712324858580839,-0.1760207857408266,-0.2068932695818688,-0.7290692931823253,0.156691642079324,0.6571473637373958,-0.1594022836944239,-188.0469137187017,0.1724255338020465,1.4167009516236158,2.8085212991568604,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,76.585
5396,-18.7011717,-45.1968673,682.667,2021-05-05, _Campo2021-05_0000SET_000_IMG_0184,0.0107093516685985,0.015137471975813,0.0054018384998909,0.0035591846526933,0.000808612067148,0000SET_000_IMG_0184,0.3506208419205047,3.703953409165889,-0.1777095126246211,-0.2056298500541438,-0.739596327699766,0.149692010815268,0.6588839434509536,-0.1516850239408217,-187.5868912961188,0.1713216435463987,1.4134816414889468,2.802281478078015,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,72.929
5426,-18.7009934,-45.1968432,682.722,2021-05-05, _Campo2021-05_0000SET_000_IMG_0185,0.0107488308759772,0.015258674618404,0.0054380191469754,0.0035463305578426,0.0008265774898238,0000SET_000_IMG_0185,0.3480519679341121,3.719600770414031,-0.177311955510223,-0.2105537575099455,-0.7361115047796192,0.1519997387805334,0.6521364603534087,-0.1561803587779664,-188.94823619169588,0.173405471101453,1.419565978334067,2.805925136709164,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,73.5
5456,-18.7007963,-45.1968161,682.748,2021-05-05, _Campo2021-05_0000SET_000_IMG_0186,0.0107387214823976,0.0153080850292253,0.005417129055421,0.0035178337745879,0.0008116393327172,0000SET_000_IMG_0186,0.3476327977547112,3.735528691024731,-0.1768159071880342,-0.2125689067730803,-0.7393901066339693,0.1498283176224093,0.649390800661755,-0.155140713157061,-191.14489269227764,0.1754289357810028,1.425503497256874,2.825866777884177,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,80.112
5486,-18.7006177,-45.1967884,682.665,2021-05-05, _Campo2021-05_0000SET_000_IMG_0187,0.0107413752380028,0.0153588485172773,0.005396286512965,0.0035105793777471,0.0008011006321943,0000SET_000_IMG_0187,0.3480136365056967,3.7470693633826233,-0.1760592523595162,-0.2117138798715132,-0.7414714900230076,0.1484540582249651,0.6505546674203935,-0.1536153056834537,-191.75531701015515,0.1769131683532169,1.4298772901013606,2.846188481722842,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,90.217
6356,-18.7004833,-45.1964649,678.303,2021-05-05, _Campo2021-05_0000SET_001_IMG_0216,0.0116092191581058,0.0167228596950947,0.0054825825347174,0.0038989711530135,0.0010024449284869,0000SET_001_IMG_0216,0.3663629747001656,3.7625663186775498,-0.158129505054812,-0.1688005456681371,-0.6908432742421774,0.1828417396617579,0.711155943084124,-0.1707559473083207,-170.3394794625391,0.1804894220252829,1.4404810062887348,3.050179288537912,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,83.684
6386,-18.7006577,-45.1964912,678.323,2021-05-05, _Campo2021-05_0000SET_001_IMG_0217,0.0118075823901342,0.0167933196164286,0.005645743810605,0.0041516982233417,0.0011304481555297,0000SET_001_IMG_0217,0.3669220094817456,3.7117065618946414,-0.1578724913654546,-0.1524934347237423,-0.6663470689203232,0.2002301545114851,0.7353678031835459,-0.1765465522421225,-156.1739486932925,0.1743209785883804,1.4222487772315036,2.9745096801742803,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,67.335
