,lat_d,long_d,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
1106,-18.7009934,-45.1968432,2021-05-05, _Campo2021-05-TM_0000SET_000_IMG_0185,0.0130915236356429,0.0179623306212843,0.0079043911870134,0.006637633560432,0.0023770159526293,0000SET_000_IMG_0041,1.67208694274882,5.399573903198712,1.379480038676987,0.2222290422890389,0.2887783638991176,3.5593852489355893,-0.1779932110408197,-0.087110127274672,-0.5376088272073026,0.3007209406000354,0.8397400132900011,-0.1765428744309214,-74.27079916550042,0.1568503202643474,1.372058067586585,2.2724496038095503,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,73.5
1316,-18.7013315,-45.1965885,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0220,0.01112038175995,0.0156164618450485,0.0059264338967356,0.003956373267746,0.0009705298173331,0000SET_000_IMG_0048,1.6239006460475496,10.193377458667412,1.2372638944796093,0.4013748814810156,0.3325944067709064,3.673319929581085,-0.185358606745786,-0.1993422107910712,-0.7185631655989795,0.1637628689096975,0.66758076385957,-0.1580330853576445,-162.83176728346237,0.1681604661912279,1.4043098683258437,2.6350520594940514,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,46.538
1436,-18.701799,-45.1963693,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0240,0.0115066948608182,0.0160756614495785,0.0062000677237808,0.0043572794381618,0.0010797074047549,0000SET_000_IMG_0052,1.6190065454520772,9.817204425175795,1.2525649302970294,0.3508751089200068,0.3301031906949332,3.648318731392715,-0.1856389737484417,-0.1745503162254559,-0.7033679239561679,0.1741444533925985,0.7027793295626668,-0.1539609575493271,-142.59507425002536,0.1656481606336913,1.3970702833459354,2.592820299029825,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,71.381
1466,-18.7009473,-45.1962405,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0245,0.0114821062235633,0.0160654620376541,0.0061862382017003,0.0042813743562959,0.0010747511459679,0000SET_000_IMG_0053,1.6293314318520948,9.820229399513051,1.251909521813323,0.363150108571268,0.3296430572273979,3.65434808824498,-0.1855512982947595,-0.1819769154475703,-0.7039656458625583,0.1737325836681333,0.6920804237895586,-0.1574272077446629,-146.4778226432009,0.1663796880591974,1.3991737861373332,2.5969679009835858,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,27.209
1646,-18.7010998,-45.1959297,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0275,0.0121949592712688,0.0168637921059175,0.0067397888048888,0.0049480527379435,0.0013027991351549,0000SET_000_IMG_0059,1.6509829336621664,9.364439974612765,1.2854229281485283,0.29843418163126,0.3234842099640082,3.600349671237433,-0.1871033479436566,-0.1532991408532657,-0.6760248952533503,0.1932996971967276,0.7341554581583271,-0.1564643670595733,-120.09861139566232,0.1606687353508983,1.3828493995587523,2.502124709558423,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,27.48
1826,-18.7011728,-45.1956825,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0305,0.015074962782054,0.0189389970639133,0.0089473643138036,0.0077719541621838,0.0027247349408926,0000SET_000_IMG_0065,1.7551417019393474,6.586064991645217,1.4304235754102672,0.1542906526066728,0.3235439789959118,3.203705308864816,-0.1829433973900794,-0.0703025158177318,-0.5331199844284534,0.3045293390690484,0.868630569808538,-0.1698398490274891,-62.332613157539285,0.1136014242198683,1.256321314866478,2.1167124082222792,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,51.887
1976,-18.701076,-45.1953285,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0330,0.0159879320012773,0.0196933712465577,0.0098885325063282,0.0089116116047894,0.0033162137889941,0000SET_000_IMG_0070,1.8207532339399373,6.630751163579595,1.510246504839048,0.1207618454276955,0.3097184031411201,3.119680460958054,-0.1841950298643557,-0.0519634794161546,-0.497723967605671,0.3353595477258003,0.9012066855305764,-0.1647029835223789,-49.66597270326711,0.1038482036248277,1.2317647613827958,1.991536280429362,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,89.962
4648,-18.706597,-45.1904332,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0091,0.0154795284515751,0.0196145485280031,0.0090846650382688,0.00793696752343,0.0031788635972646,0000SET_000_IMG_0159,1.7645395230854968,5.289058200029155,1.432464237422479,0.1709878960511465,0.3260265411756251,3.2318448324434907,-0.1682848488775151,-0.0674258189206415,-0.4815743997116968,0.3499153335729782,0.873666501736259,-0.195154419164295,-61.391252940901495,0.1178267226926707,1.267128297180606,2.159083295352946,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,96.094
4828,-18.7064468,-45.1909026,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0121,0.0151588324102869,0.0191604501378155,0.0088501642952599,0.0077861454007298,0.0030301402243739,0000SET_000_IMG_0165,1.7321965194614808,5.25061993298627,1.4166535641560716,0.1707523520154144,0.3292546923298043,3.225788853439157,-0.1695846660759463,-0.0639576272607253,-0.4898884587737316,0.3423823697823131,0.8797741082501731,-0.1892780542072931,-62.465113886405234,0.1165996906234818,1.263979284104564,2.1649824227644827,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,51.592
5068,-18.706878,-45.1910117,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0161,0.0131108119777722,0.0174307685421251,0.0072140437186913,0.0058237072621103,0.001948001766755,0000SET_000_IMG_0173,1.6291262199825856,5.550960016550738,1.3067882468450802,0.2575292297341046,0.3382965154307525,3.4400338292184003,-0.1724220509316983,-0.1066392860722914,-0.5747670605108092,0.2700291047180383,0.8072736303248768,-0.1859153425948117,-95.4390010151332,0.1414450886567093,1.3294957300643824,2.416227184340826,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,43.347
