,lat_d,long_d,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
1106,-18.7009934,-45.1968432,2021-05-05, _Campo2021-05-TM_0000SET_000_IMG_0185,0.0103231577648444,0.0155239276275629,0.0053615358911975,0.0033596623616307,0.0008348645681203,0000SET_000_IMG_0041,1.5956591327602567,9.106694971253637,1.2064793269485956,0.4905434383186217,0.3196112474034913,3.943951478433508,-0.1751327569183847,-0.2295411102387922,-0.730532403900759,0.1557136956764515,0.6266231225172902,-0.167623584929153,-200.77937348156723,0.2012130104327449,1.5037964139645104,2.8954254793015344,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,73.5
1316,-18.7013315,-45.1965885,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0220,0.010690675150032,0.0152259465473701,0.0055515844565777,0.0034371982146107,0.0007817249133854,0000SET_000_IMG_0048,1.6318266461806703,12.545806986887232,1.2144982470053605,0.4665379542326436,0.337521918750066,3.7328593495940368,-0.1840463467377939,-0.2352249819927461,-0.7531385669890448,0.140811135901785,0.6191382372897515,-0.1543087228414979,-197.3951708577846,0.174994698394379,1.4242268457034284,2.7426308050361903,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,46.538
1436,-18.701799,-45.1963693,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0240,0.0108320080916219,0.0153516235250699,0.0056094517227233,0.0035055579002176,0.0008098383684016,0000SET_000_IMG_0052,1.6326633242361523,12.09442109706972,1.2163014689902465,0.4571021800646547,0.3401957037553668,3.7121855900689615,-0.1833058692768193,-0.2308164126574879,-0.7476860036217226,0.144370325021433,0.6249377075511592,-0.1562520881293586,-192.9423132146204,0.1726122449174235,1.4172463125229506,2.736742249315042,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,71.381
1466,-18.7009473,-45.1962405,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0245,0.0108512949738195,0.0154159609147988,0.0056301452865681,0.0034988633491344,0.0008224896262748,0000SET_000_IMG_0053,1.640139035574718,11.85256104538006,1.217636235908894,0.4617032750389914,0.3386846733789571,3.720985044901612,-0.1830284701485119,-0.2334625831219506,-0.7450685999179123,0.1460867498813969,0.6214516981438609,-0.1592769288760746,-193.65220397668452,0.1737778000235337,1.420656331985472,2.7381106756830644,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,27.209
1646,-18.7010998,-45.1959297,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0275,0.0111872997762176,0.0157162439334586,0.0058493384575973,0.0037113922088484,0.0009566750909645,0000SET_000_IMG_0059,1.6544596721716165,9.919277067391208,1.228948184651937,0.4450011289290541,0.339646122904482,3.673757281086527,-0.1818594390178083,-0.2236174538680634,-0.7188735860901547,0.1635526988051001,0.6344977702611703,-0.1722527888569886,-180.0535944584142,0.1683400598119759,1.4048290693764018,2.686841263740836,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,27.48
1826,-18.7011728,-45.1956825,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0305,0.0116747493462907,0.0158654060397541,0.0063910987632364,0.0044964133980844,0.0014535041720833,0000SET_000_IMG_0065,1.6423345525512103,6.067176208672087,1.2659713266861048,0.3867715776212344,0.3330296476380753,3.5414262570136508,-0.1792870999433462,-0.1740237197514321,-0.6294256869167939,0.2274263355847841,0.7035430940215127,-0.1987587532517886,-136.74453577034373,0.1521653249489978,1.3589504638739722,2.482422291925276,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,51.887
1976,-18.701076,-45.1953285,2021-05-05, _Campo2021-05-TM_0000SET_001_IMG_0330,0.0117230745513275,0.015929932777235,0.0065290171588778,0.0047280628010095,0.0015701702169231,0000SET_000_IMG_0070,1.6362294758267482,5.707283894738113,1.2777665019240751,0.3669574002130069,0.326056453915008,3.540493692966873,-0.1793239658542584,-0.1599841490231655,-0.6122647510009406,0.2404910538162805,0.7241614910722879,-0.1981574571007897,-126.20125828720556,0.1521302249669706,1.3588528084069142,2.439866888016116,Região 2,Seco,,Campanha 4,TM01,MD,2021-05-05,,,,-18.701184,-45.196175,Subsuperfície,230,26.6,7,,80.7,6.32,0.35,1.67,-0.18,0.15,,,1.43,-158.76,51,,,,5.75,Não,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,89.962
4648,-18.706597,-45.1904332,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0091,0.0119271556178507,0.0163411037323486,0.0059182633381905,0.0034967603391471,0.0010768049161778,0000SET_000_IMG_0159,1.7281398070585343,8.059315638088933,1.2189067551984714,0.5095907024854519,0.3677164271202249,3.568822912000277,-0.1712683601078736,-0.2571956356171541,-0.6921245434580702,0.1819460971310938,0.5908423027719191,-0.2176617989886533,-202.13670621161373,0.1561450268237609,1.370075502988474,2.7611315682591555,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,96.094
4828,-18.7064468,-45.1909026,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0121,0.0116564226994364,0.0158733593677281,0.005774781801478,0.0033919502018721,0.0010210938555693,0000SET_000_IMG_0165,1.7107570063086437,8.12766448996411,1.212700660312321,0.5208907140928457,0.3705353581243981,3.5495104412545477,-0.1726743762195832,-0.2599434126289569,-0.6994960157899801,0.17681946966515,0.5873728771888772,-0.2134352003010643,-209.0260353021769,0.1531772630093339,1.3617693675861289,2.748737513106637,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,51.592
5068,-18.706878,-45.1910117,2021-05-05, _Campo2021-05-TM_0002SET_000_IMG_0161,0.0110693290804605,0.0155395615551716,0.005324518461494,0.0034733949708978,0.0006478999499866,0000SET_000_IMG_0173,1.5616865791439722,16.565040932969566,1.1884435396055508,0.4180237014382764,0.369689363407722,3.672789895017079,-0.1757539829655625,-0.2104048311933609,-0.7830359812898702,0.1216823558171693,0.652339736638495,-0.1280010892304743,-197.56304848167017,0.16799770181794,1.403839513869176,2.918491440597123,Região 2,Seco,Tanque-Rede,Campanha 4,TM01,MD EXTRA 1,2021-05-05,,,,-18.706648,-45.191344,Subsuperfície,200,26.7,7.2,,80.8,6.37,0.28,1.35,0.22,0.11,,,1.33,-160,51,,,,5.0,Não,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,43.347
