Latitude,Longitude,DateTime,Image Index
-18.699759,-45.1999408,2021:05:05 14:43:23, _Campo2021-05-TM_0000SET_000_IMG_0005
-18.6991291,-45.1998007,2021:05:05 14:43:37, _Campo2021-05-TM_0000SET_000_IMG_0010
-18.699525,-45.199486,2021:05:05 14:43:53, _Campo2021-05-TM_0000SET_000_IMG_0015
-18.7003994,-45.1993251,2021:05:05 14:44:04, _Campo2021-05-TM_0000SET_000_IMG_0020
-18.6996187,-45.1990796,2021:05:05 14:44:23, _Campo2021-05-TM_0000SET_000_IMG_0025
-18.6986388,-45.1986095,2021:05:05 14:44:36, _Campo2021-05-TM_0000SET_000_IMG_0030
-18.6998645,-45.1987717,2021:05:05 14:44:56, _Campo2021-05-TM_0000SET_000_IMG_0035
-18.7006379,-45.1988679,2021:05:05 14:45:05, _Campo2021-05-TM_0000SET_000_IMG_0040
-18.7007368,-45.1985905,2021:05:05 14:45:22, _Campo2021-05-TM_0000SET_000_IMG_0045
-18.699787,-45.1984546,2021:05:05 14:45:33, _Campo2021-05-TM_0000SET_000_IMG_0050
-18.6987467,-45.1983123,2021:05:05 14:45:44, _Campo2021-05-TM_0000SET_000_IMG_0055
-18.6982865,-45.1979056,2021:05:05 14:46:03, _Campo2021-05-TM_0000SET_000_IMG_0060
-18.6998031,-45.1981482,2021:05:05 14:46:20, _Campo2021-05-TM_0000SET_000_IMG_0065
-18.7008618,-45.1983137,2021:05:05 14:46:31, _Campo2021-05-TM_0000SET_000_IMG_0070
-18.7014688,-45.198104,2021:05:05 14:46:50, _Campo2021-05-TM_0000SET_000_IMG_0075
-18.7005634,-45.1979795,2021:05:05 14:47:01, _Campo2021-05-TM_0000SET_000_IMG_0080
-18.699559,-45.1978443,2021:05:05 14:47:11, _Campo2021-05-TM_0000SET_000_IMG_0085
-18.6987229,-45.1977176,2021:05:05 14:47:27, _Campo2021-05-TM_0000SET_000_IMG_0090
-18.6979989,-45.1972458,2021:05:05 14:47:45, _Campo2021-05-TM_0000SET_000_IMG_0095
-18.6988494,-45.1973844,2021:05:05 14:47:54, _Campo2021-05-TM_0000SET_000_IMG_0100
-18.6997966,-45.1975085,2021:05:05 14:48:04, _Campo2021-05-TM_0000SET_000_IMG_0105
-18.7008109,-45.1976723,2021:05:05 14:48:14, _Campo2021-05-TM_0000SET_000_IMG_0110
-18.7018945,-45.1978093,2021:05:05 14:48:25, _Campo2021-05-TM_0000SET_000_IMG_0115
-18.7017116,-45.1975381,2021:05:05 14:48:44, _Campo2021-05-TM_0000SET_000_IMG_0120
