,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
3375,-18.4753603,-45.3992288,671.92,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0100,0.0087238613543398,0.0126815312775998,0.0041665875320663,0.0028974738640344,0.0008314686749337,0000SET_000_IMG_0100,1.3871091755120333,3.817224619719185,1.143555497591437,0.5664372832365019,0.3593630550218571,3.842711283553264,-0.1558074133223874,-0.1796577913001209,-0.667283183502742,0.1995562720174888,0.6954069347482256,-0.1916535969593359,-230.50008104588915,0.1848912557368673,1.453660341735166,3.0436253120814087,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,96.351
3410,-18.4753613,-45.399056,671.368,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0101,0.0087526156320203,0.0127372881846499,0.0041951240611681,0.0029433597701186,0.0008458958541149,0000SET_000_IMG_0101,1.386174830991706,3.79913993305802,1.145154162510461,0.5583358246865788,0.3578070547500507,3.846329306794761,-0.1558512423147807,-0.175354363844496,-0.6643949564450742,0.2016378638107229,0.7016144760446117,-0.1907463317019362,-225.4962366514054,0.1854206787811958,1.4552550597620435,3.0362125169436114,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,85.516
3445,-18.475349,-45.3988406,670.975,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0102,0.0087829367429911,0.0127502841050815,0.0042178914897913,0.0029936647393761,0.0008630813695432,0000SET_000_IMG_0102,1.3834150388172508,3.752547447676888,1.1463023603372255,0.5493813029543118,0.3580347869566645,3.836558598329212,-0.1557969494632468,-0.1697590244757117,-0.6602692462890876,0.2046238912575498,0.7097538537019655,-0.1900346433248702,-220.1816074716677,0.1842431000026412,1.451710797673272,3.022904722879056,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,77.515
3480,-18.475336,-45.3986672,670.768,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0103,0.0087311028406208,0.0126852558576377,0.0041779677843127,0.0029187521499577,0.0008431852279328,0000SET_000_IMG_0103,1.3862651957283103,3.774000743706929,1.1442669014313662,0.5637972364941266,0.3589312748127733,3.840552159729224,-0.1557119304623466,-0.1774362869068832,-0.6641467703228902,0.2018170726683831,0.698605709914025,-0.1923129269082844,-228.07909879987997,0.1846323678421784,1.4528812784818546,3.036226345561565,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,75.916
3515,-18.4753202,-45.3984451,670.811,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0104,0.0086785741884363,0.0126344537633436,0.0041484686960909,0.0029026851977884,0.0008159878023989,0000SET_000_IMG_0104,1.3823704518734614,3.869369814504236,1.143017912620136,0.5612244590219184,0.3585517488289533,3.8491592547925775,-0.1563588665689192,-0.1766779617991166,-0.6712680219286339,0.1966961455362565,0.6997003980103789,-0.1870915555887177,-229.28229446407465,0.185608520002759,1.4558213698487803,3.045570471641509,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,80.109
3550,-18.4753063,-45.3982167,670.818,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0105,0.0086657323807851,0.0125896052044181,0.0041317173513858,0.0028472244605286,0.0008249269979362,0000SET_000_IMG_0105,1.3874207746040748,3.7721376804911446,1.1420115264138286,0.5778666972766325,0.3601395719548193,3.841551896861848,-0.1555745863924366,-0.1840526723785435,-0.6671429540636545,0.199657171045235,0.6891140458999756,-0.1945360835268174,-235.8221806456902,0.184606469217623,1.452803369780213,3.047063517110017,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,90.552
6980,-18.4760082,-45.3977817,674.853,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0203,0.0087851010037155,0.0128724791055013,0.0038235043392946,0.0025267298746548,0.0007148591017414,0000SET_001_IMG_0203,1.37160838182242,3.713639884849003,1.1187068006545584,0.6220472033640558,0.3854421998867698,3.871641762754141,-0.1435361301621253,-0.204208919064939,-0.6849705357320547,0.1869643756892622,0.6608413775518188,-0.2015469315344978,-281.9393794434856,0.1887273684859342,1.4652625052412165,3.366670458095033,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,89.893
7015,-18.4760079,-45.3979062,675.0,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0204,0.0087669223428079,0.0128727465628639,0.0038411584218877,0.002598272534848,0.0007322483107465,0000SET_001_IMG_0204,1.363599217827388,3.6426469229420806,1.1201318290699394,0.6064515185779682,0.3826505786364465,3.879881633254037,-0.1436671755327249,-0.1930117576211653,-0.6797799305618557,0.190632155803312,0.6764294125549511,-0.1982972230730683,-270.8059822915967,0.1897360000263153,1.4683313093818249,3.351266766169388,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,76.765
7050,-18.476008,-45.3980097,675.116,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0205,0.0088068301194162,0.0128977415367961,0.0038767650924435,0.0026212920641409,0.0007625832701111,0000SET_001_IMG_0205,1.367699011766493,3.540992879004914,1.1219135155017366,0.6086093406240191,0.3822425044654265,3.8693196141734703,-0.1434804552542762,-0.193207446171883,-0.6712541458338804,0.1967060814691892,0.676154474577338,-0.2043288659930584,-267.943022095528,0.1884815550464454,1.4645157635504706,3.326933984712171,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,65.85
7085,-18.4760083,-45.3981134,675.122,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0206,0.0088356833955755,0.0129440604298961,0.0039117785235553,0.0026402490124643,0.000775937327711,0000SET_001_IMG_0206,1.372346964686294,3.5437801155581434,1.1238278177270675,0.6080340814442177,0.380398785890072,3.869982906097047,-0.1439797098153609,-0.1940665700961725,-0.6689486511852485,0.1983592176905182,0.6749484912209844,-0.2060693361249419,-265.57471688189366,0.1886329365139647,1.4649755825766555,3.308996240955796,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,54.915
