,lat_d,long_d,Altitude,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
3375,-18.4753603,-45.3992288,671.92,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0100,0.0086785240261334,0.0126440573189356,0.0041438619405144,0.0028501806258479,0.0008023853592636,0000SET_000_IMG_0100,1.3896232068581886,3.947078020958649,1.142679695409831,0.5723894536587697,0.3586397918987554,3.8520541467993112,-0.1567106968511362,-0.1849690364894879,-0.6755579288162107,0.1936322615912236,0.6878078147299693,-0.1890644492935269,-235.62798985644923,0.1859781059632003,1.4569363731506533,3.0512737876991203,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,96.351
3410,-18.4753613,-45.399056,671.368,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0101,0.0086934643480259,0.0126537570939986,0.0041631989009333,0.0028680365225718,0.0008208683447249,0000SET_000_IMG_0101,1.391027858969593,3.8752708641612377,1.1438416132368856,0.5725869683366248,0.358017418339823,3.8481758396525727,-0.1565698170736465,-0.1842012534570853,-0.6706030218833874,0.1971725022652362,0.688902113691673,-0.1917890373178318,-233.64165343969583,0.1855179493372566,1.4555482817240746,3.03943131113959,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,85.516
3445,-18.475349,-45.3988406,670.975,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0102,0.0086796765285568,0.0126406475785911,0.0041458717450515,0.0028853873148037,0.0008195953271681,0000SET_000_IMG_0102,1.384491910529232,3.839913362053641,1.142807318306045,0.5666184469524477,0.3586687118137841,3.8505114567915015,-0.1560143458029432,-0.1792686657563941,-0.6698818800940171,0.1976895035757839,0.6959663714266341,-0.1896234237750112,-231.36225584668227,0.185783810327083,1.4563500767571698,3.048972171818614,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,77.515
3480,-18.475336,-45.3986672,670.768,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0103,0.0086442737234523,0.012603044180596,0.0041237198835956,0.0028317561138218,0.000808083806785,0000SET_000_IMG_0103,1.3881359556021864,3.8577060009751194,1.1418000414558025,0.5782416737436618,0.3586874547989502,3.855353353784921,-0.1560496290300652,-0.1857477144991244,-0.6722968481648391,0.1959599171611061,0.6866994349171709,-0.1918829242234869,-237.45423755848083,0.1863185967763689,1.457964495779834,3.0562318819790963,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,75.916
3515,-18.4753202,-45.3984451,670.811,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0104,0.008610296340077,0.0125588175985004,0.0041096588480388,0.002831270121359,0.0007938410570036,0000SET_000_IMG_0104,1.3851174931423649,3.915484097001381,1.1413627496172,0.574844524972129,0.358364747058322,3.8575824267441874,-0.156634699055242,-0.1841812144046064,-0.6762145111138794,0.1931647093730017,0.6889306937752584,-0.1881866524073721,-237.0583516021378,0.1865227458211105,1.45858134290278,3.055927039903491,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,80.109
3550,-18.4753063,-45.3982167,670.818,2021-10-28, _Campo2021-10-TM_0000SET_000_IMG_0105,0.0085807079536983,0.0124959044802253,0.0040774689765309,0.0027489250835201,0.0007923512672603,0000SET_000_IMG_0105,1.3913967601542416,3.842666910937981,1.1395216201925673,0.5965202081488581,0.3603771927269252,3.852161728611506,-0.1558655462100294,-0.1946186934600835,-0.6745870575939586,0.1943242908335823,0.6741743712441138,-0.1958993872898382,-247.2380563827409,0.1857602372677946,1.4562789629542794,3.064622821693859,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,90.552
6980,-18.4760082,-45.3977817,674.853,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0203,0.0087704108357315,0.0128821189403097,0.0037853952271087,0.0024842635554755,0.0006977870044749,0000SET_001_IMG_0203,1.3702742625804385,3.7338956239844574,1.116426100222601,0.6283710175045218,0.3869717110765129,3.881065296150034,-0.1425980360987785,-0.2075283068430249,-0.6887090604709057,0.1843366313450636,0.6562758725125224,-0.2013213449312967,-288.5140360027132,0.1898950444639432,1.4688159063001591,3.4031106839401586,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,89.893
7015,-18.4760079,-45.3979062,675.0,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0204,0.0087748084801199,0.0128984759437939,0.0038170779548409,0.002572276667152,0.000717904767217,0000SET_001_IMG_0204,1.3625343866117552,3.6768573921709744,1.1184320549710765,0.6088667061316436,0.3843656062067094,3.8838867939762025,-0.1429950868085477,-0.1948242602475294,-0.6833925017067202,0.1880770515327144,0.673886333363924,-0.1972788434138372,-274.79806852181844,0.1902650001272553,1.4699438709137105,3.379149206904663,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,76.765
7050,-18.476008,-45.3980097,675.116,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0205,0.0087917087709653,0.0129101685732747,0.0038364221105088,0.0025682896153651,0.0007379592259871,0000SET_001_IMG_0205,1.3674872763107828,3.5950045561442776,1.119461466653972,0.6159597726243199,0.3838281918885571,3.8797307129174072,-0.1427739561593309,-0.1979999333960136,-0.6773512430634405,0.1923561080428736,0.6694491746176712,-0.2033968064504326,-275.6206566539872,0.1897743562449218,1.468448160602254,3.365158525677068,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,65.85
7085,-18.4760083,-45.3981134,675.122,2021-10-28, _Campo2021-10-TM_0000SET_001_IMG_0206,0.0087792396107533,0.012923903863413,0.0038396856785686,0.0025463383251095,0.0007322716499075,0000SET_001_IMG_0206,1.371918773887242,3.638888705935395,1.119856288424737,0.6216816569478096,0.3822029306615595,3.8893421790432505,-0.1431780623097257,-0.2025277939315891,-0.6796682045361184,0.1907113527533546,0.6631632217506803,-0.2041688395544628,-278.81570941638023,0.1909706885361182,1.4720983178979516,3.365875476617376,,Chuvoso,,Campanha 8,,,2021-10-28,10:44:28,457914.0,7957102.0,-18.476018,-45.398634,0.104,260,27.839,8.13,125.6,79.9,7.77,0.16,12.74,3.18,3.02,2.15,4.42,1.29,,45.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633,54.915
