Latitude,Longitude,Altitude,DateTime,Image Index
-18.4738951,-45.3992859,670.733,2021:10:28 11:42:03, _Campo2021-10-TM_0000SET_000_IMG_0004
-18.4738594,-45.3992994,670.927,2021:10:28 11:42:05, _Campo2021-10-TM_0000SET_000_IMG_0005
-18.4738287,-45.3991512,671.841,2021:10:28 11:42:12, _Campo2021-10-TM_0000SET_000_IMG_0006
-18.4738283,-45.3990014,671.424,2021:10:28 11:42:14, _Campo2021-10-TM_0000SET_000_IMG_0007
-18.4738284,-45.3988358,670.955,2021:10:28 11:42:17, _Campo2021-10-TM_0000SET_000_IMG_0008
-18.4738275,-45.3986012,670.575,2021:10:28 11:42:19, _Campo2021-10-TM_0000SET_000_IMG_0009
-18.4738276,-45.3983904,670.316,2021:10:28 11:42:21, _Campo2021-10-TM_0000SET_000_IMG_0010
-18.4738263,-45.3981516,670.21,2021:10:28 11:42:24, _Campo2021-10-TM_0000SET_000_IMG_0011
-18.4738256,-45.3979299,669.981,2021:10:28 11:42:26, _Campo2021-10-TM_0000SET_000_IMG_0012
-18.4738266,-45.397766,669.671,2021:10:28 11:42:28, _Campo2021-10-TM_0000SET_000_IMG_0013
-18.4738281,-45.3974989,669.752,2021:10:28 11:42:30, _Campo2021-10-TM_0000SET_000_IMG_0014
-18.4738282,-45.3973333,670.013,2021:10:28 11:42:32, _Campo2021-10-TM_0000SET_000_IMG_0015
-18.4738273,-45.3971041,670.405,2021:10:28 11:42:34, _Campo2021-10-TM_0000SET_000_IMG_0016
-18.4738257,-45.3968971,670.369,2021:10:28 11:42:36, _Campo2021-10-TM_0000SET_000_IMG_0017
-18.473822,-45.3966678,670.309,2021:10:28 11:42:38, _Campo2021-10-TM_0000SET_000_IMG_0018
-18.4738216,-45.3964785,669.939,2021:10:28 11:42:40, _Campo2021-10-TM_0000SET_000_IMG_0019
-18.4738215,-45.3961849,669.086,2021:10:28 11:42:43, _Campo2021-10-TM_0000SET_000_IMG_0020
-18.4738222,-45.3959964,668.636,2021:10:28 11:42:45, _Campo2021-10-TM_0000SET_000_IMG_0021
-18.4738218,-45.3959133,668.587,2021:10:28 11:42:45, _Campo2021-10-TM_0000SET_000_IMG_0022
-18.4738199,-45.3956883,668.632,2021:10:28 11:42:47, _Campo2021-10-TM_0000SET_000_IMG_0023
-18.4738187,-45.395524,668.562,2021:10:28 11:42:49, _Campo2021-10-TM_0000SET_000_IMG_0024
-18.4738188,-45.3953806,668.531,2021:10:28 11:42:50, _Campo2021-10-TM_0000SET_000_IMG_0025
-18.4738188,-45.395236,668.707,2021:10:28 11:42:52, _Campo2021-10-TM_0000SET_000_IMG_0026
-18.4738186,-45.3950494,668.81,2021:10:28 11:42:54, _Campo2021-10-TM_0000SET_000_IMG_0027
-18.473818,-45.394966,668.912,2021:10:28 11:42:54, _Campo2021-10-TM_0000SET_000_IMG_0028
-18.4738164,-45.3947575,669.122,2021:10:28 11:42:57, _Campo2021-10-TM_0000SET_000_IMG_0029
