,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
47,-19.8512446944444,-43.9760236111111,836.708,90.0,2022-03-10, _Campo20220310-Pampulha_0000SET_000_DJI_3471.TIF,0.1204553953177385,0.2214461671667485,0.2359633157382158,0.1059770386131524,0.1709866342584056,0000SET_000_DJI_3471.T,2892479724360.972,1182783508.6328237,34036960327137.05,inf,1.468533147467999e+17,-0.5216072235447637,4.310278126028692,-0.1900449971847039,-0.3801431316044469,-0.1596675008323496,0.7246322748240361,0.4491250611630082,-0.1939292862225682,-1.1341780430012456,0.2953796733631255,1.838408039611804,0.938477095365226,2022-03-10,08:46:53,-19.850507,-43.975875,P9,7804736.025,607234.003,799.4,,Média,,0,7.56,1.66,261.5,0.225,25.62,8.27,7.42,75.1,0.319,0.12,252.4,164.0,8.61,,26.885,0.258,4674,694.4,48,83.487
48,-19.8512446944444,-43.9760236111111,836.708,90.0,2022-03-10, _Campo20220310-Pampulha_0000SET_000_DJI_3471.TIF,0.1204553953177385,0.2214461671667485,0.2359633157382158,0.1059770386131524,0.1709866342584056,0000SET_000_DJI_3471.T,2892479724360.972,1182783508.6328237,34036960327137.05,inf,1.468533147467999e+17,-0.5216072235447637,4.310278126028692,-0.1900449971847039,-0.3801431316044469,-0.1596675008323496,0.7246322748240361,0.4491250611630082,-0.1939292862225682,-1.1341780430012456,0.2953796733631255,1.838408039611804,0.938477095365226,2022-03-10,08:46:53,-19.850507,-43.975875,P9,7804736.025,607234.003,802.0,,Pontual,1.9,190,7.97,1.8,260.2,0.117,25.89,8.36,8.31,70.4,0.165,0.12,251.2,163.0,7.13,8.15,26.863,0.172,4674,694.4,49,83.487
106,-19.8510686388889,-43.9759892777778,836.555,89.9,2022-03-10, _Campo20220310-Pampulha_0000SET_000_DJI_3481.TIF,0.1186902809318288,0.216825970604195,0.2267070867868367,0.1022639159476268,0.1651911460773627,0000SET_000_DJI_3481.T,832638665473.6382,466530330.76399153,4752148052083.651,inf,3.308566002616267e+16,-0.4981728229049978,4.288741514107811,-0.1833471267869989,-0.3782800605670922,-0.1569691709500269,0.728654531354307,0.451083895951525,-0.223558227642024,-1.3533305685604162,0.29249161321722,1.8268216142207263,0.9564146126939008,2022-03-10,08:46:53,-19.850507,-43.975875,P9,7804736.025,607234.003,799.4,,Média,,0,7.56,1.66,261.5,0.225,25.62,8.27,7.42,75.1,0.319,0.12,252.4,164.0,8.61,,26.885,0.258,4674,694.4,48,63.585
107,-19.8510686388889,-43.9759892777778,836.555,89.9,2022-03-10, _Campo20220310-Pampulha_0000SET_000_DJI_3481.TIF,0.1186902809318288,0.216825970604195,0.2267070867868367,0.1022639159476268,0.1651911460773627,0000SET_000_DJI_3481.T,832638665473.6382,466530330.76399153,4752148052083.651,inf,3.308566002616267e+16,-0.4981728229049978,4.288741514107811,-0.1833471267869989,-0.3782800605670922,-0.1569691709500269,0.728654531354307,0.451083895951525,-0.223558227642024,-1.3533305685604162,0.29249161321722,1.8268216142207263,0.9564146126939008,2022-03-10,08:46:53,-19.850507,-43.975875,P9,7804736.025,607234.003,802.0,,Pontual,1.9,190,7.97,1.8,260.2,0.117,25.89,8.36,8.31,70.4,0.165,0.12,251.2,163.0,7.13,8.15,26.863,0.172,4674,694.4,49,63.585
165,-19.8507722777778,-43.9759280833333,835.937,90.0,2022-03-10, _Campo20220310-Pampulha_0000SET_000_DJI_3491.TIF,0.118867745456189,0.2182464987148189,0.22368028926333,0.101121731507117,0.162451807646883,0000SET_000_DJI_3491.T,543688441408.8318,381283299.1701664,2100021700951.5137,inf,1.364227059273816e+16,-0.4802484549550496,4.307538639529775,-0.1816253174558463,-0.377333113462465,-0.1585687439774902,0.7262678717999818,0.4520815483570408,-0.2398373648084331,-1.476360086615724,0.2947925072196536,1.8360447392792345,0.9757073340417846,2022-03-10,08:46:53,-19.850507,-43.975875,P9,7804736.025,607234.003,799.4,,Média,,0,7.56,1.66,261.5,0.225,25.62,8.27,7.42,75.1,0.319,0.12,252.4,164.0,8.61,,26.885,0.258,4674,694.4,48,30.015
166,-19.8507722777778,-43.9759280833333,835.937,90.0,2022-03-10, _Campo20220310-Pampulha_0000SET_000_DJI_3491.TIF,0.118867745456189,0.2182464987148189,0.22368028926333,0.101121731507117,0.162451807646883,0000SET_000_DJI_3491.T,543688441408.8318,381283299.1701664,2100021700951.5137,inf,1.364227059273816e+16,-0.4802484549550496,4.307538639529775,-0.1816253174558463,-0.377333113462465,-0.1585687439774902,0.7262678717999818,0.4520815483570408,-0.2398373648084331,-1.476360086615724,0.2947925072196536,1.8360447392792345,0.9757073340417846,2022-03-10,08:46:53,-19.850507,-43.975875,P9,7804736.025,607234.003,802.0,,Pontual,1.9,190,7.97,1.8,260.2,0.117,25.89,8.36,8.31,70.4,0.165,0.12,251.2,163.0,7.13,8.15,26.863,0.172,4674,694.4,49,30.015
224,-19.8505430833333,-43.9758841111111,835.928,89.9,2022-03-10, _Campo20220310-Pampulha_0000SET_000_DJI_3501.TIF,0.1185064380627129,0.2174218744271042,0.2206100473810445,0.1003809230530525,0.1611404313623246,0000SET_000_DJI_3501.T,315970800553.2052,260149317.2623956,1053948088003.4772,inf,8295565276639064.0,-0.4696105651161804,4.3052233695006645,-0.1770306753186294,-0.3745560947256501,-0.1557813790161563,0.7304310627520869,0.4550151919403356,-0.2455284077569268,-1.5236921341289928,0.2944540030914772,1.8346840727087408,0.985548378272937,2022-03-10,08:46:53,-19.850507,-43.975875,P9,7804736.025,607234.003,799.4,,Média,,0,7.56,1.66,261.5,0.225,25.62,8.27,7.42,75.1,0.319,0.12,252.4,164.0,8.61,,26.885,0.258,4674,694.4,48,4.124
225,-19.8505430833333,-43.9758841111111,835.928,89.9,2022-03-10, _Campo20220310-Pampulha_0000SET_000_DJI_3501.TIF,0.1185064380627129,0.2174218744271042,0.2206100473810445,0.1003809230530525,0.1611404313623246,0000SET_000_DJI_3501.T,315970800553.2052,260149317.2623956,1053948088003.4772,inf,8295565276639064.0,-0.4696105651161804,4.3052233695006645,-0.1770306753186294,-0.3745560947256501,-0.1557813790161563,0.7304310627520869,0.4550151919403356,-0.2455284077569268,-1.5236921341289928,0.2944540030914772,1.8346840727087408,0.985548378272937,2022-03-10,08:46:53,-19.850507,-43.975875,P9,7804736.025,607234.003,802.0,,Pontual,1.9,190,7.97,1.8,260.2,0.117,25.89,8.36,8.31,70.4,0.165,0.12,251.2,163.0,7.13,8.15,26.863,0.172,4674,694.4,49,4.124
283,-19.8504976944444,-43.9758849722222,835.905,90.0,2022-03-10, _Campo20220310-Pampulha_0000SET_000_DJI_3511.TIF,0.1192126154692615,0.2193652791023072,0.2242341617380544,0.1012067669114117,0.1632603796003877,0000SET_000_DJI_3511.T,607617970504.2838,381142288.6509755,2225869529571.577,inf,1.9028509207579984e+16,-0.4787519095937381,4.315451729524087,-0.1800879003480779,-0.378032951593363,-0.1573539124630185,0.7280798712156313,0.4513441044261547,-0.2436478746518934,-1.4923882649805795,0.2958039058036478,1.8401179962272505,0.9782866152150584,2022-03-10,08:46:53,-19.850507,-43.975875,P9,7804736.025,607234.003,799.4,,Média,,0,7.56,1.66,261.5,0.225,25.62,8.27,7.42,75.1,0.319,0.12,252.4,164.0,8.61,,26.885,0.258,4674,694.4,48,1.469
284,-19.8504976944444,-43.9758849722222,835.905,90.0,2022-03-10, _Campo20220310-Pampulha_0000SET_000_DJI_3511.TIF,0.1192126154692615,0.2193652791023072,0.2242341617380544,0.1012067669114117,0.1632603796003877,0000SET_000_DJI_3511.T,607617970504.2838,381142288.6509755,2225869529571.577,inf,1.9028509207579984e+16,-0.4787519095937381,4.315451729524087,-0.1800879003480779,-0.378032951593363,-0.1573539124630185,0.7280798712156313,0.4513441044261547,-0.2436478746518934,-1.4923882649805795,0.2958039058036478,1.8401179962272505,0.9782866152150584,2022-03-10,08:46:53,-19.850507,-43.975875,P9,7804736.025,607234.003,802.0,,Pontual,1.9,190,7.97,1.8,260.2,0.117,25.89,8.36,8.31,70.4,0.165,0.12,251.2,163.0,7.13,8.15,26.863,0.172,4674,694.4,49,1.469
