Latitude,Longitude,Altitude,Gimbal Degree,DateTime,Image Index
-19.8512446944444,-43.9760236111111,836.708,90.0,2022:03:10 06:33:10, _Campo20220310-Pampulha_0000SET_000_DJI_3471.TIF
-19.8510686388889,-43.9759892777778,836.555,89.9,2022:03:10 06:33:17, _Campo20220310-Pampulha_0000SET_000_DJI_3481.TIF
-19.8507722777778,-43.9759280833333,835.937,90.0,2022:03:10 06:33:27, _Campo20220310-Pampulha_0000SET_000_DJI_3491.TIF
-19.8505430833333,-43.9758841111111,835.928,89.9,2022:03:10 06:33:37, _Campo20220310-Pampulha_0000SET_000_DJI_3501.TIF
-19.8504976944444,-43.9758849722222,835.905,90.0,2022:03:10 06:33:41, _Campo20220310-Pampulha_0000SET_000_DJI_3511.TIF
-19.8505081666667,-43.9762827777778,836.306,89.9,2022:03:10 06:34:01, _Campo20220310-Pampulha_0000SET_000_DJI_3521.TIF
-19.850512,-43.9764564166667,836.412,89.9,2022:03:10 06:34:07, _Campo20220310-Pampulha_0000SET_000_DJI_3531.TIF
-19.8505298055556,-43.9772743888889,835.527,90.0,2022:03:10 06:34:17, _Campo20220310-Pampulha_0000SET_000_DJI_3541.TIF
-19.8505396944444,-43.9776366388889,836.412,90.0,2022:03:10 06:34:27, _Campo20220310-Pampulha_0000SET_000_DJI_3551.TIF
-19.8505533611111,-43.97822825,836.022,90.0,2022:03:10 06:34:37, _Campo20220310-Pampulha_0000SET_000_DJI_3561.TIF
-19.8505572222222,-43.9784143888889,836.486,89.9,2022:03:10 06:34:47, _Campo20220310-Pampulha_0000SET_000_DJI_3571.TIF
-19.8505590833333,-43.9785079166667,836.457,90.0,2022:03:10 06:34:52, _Campo20220310-Pampulha_0000SET_000_DJI_3581.TIF
-19.8505609444444,-43.9785735,836.475,89.9,2022:03:10 06:34:56, _Campo20220310-Pampulha_0000SET_000_DJI_3591.TIF
-19.8511370555556,-43.9785515555556,835.269,90.0,2022:03:10 06:35:07, _Campo20220310-Pampulha_0000SET_000_DJI_3601.TIF
-19.8514351944444,-43.9785449722222,835.627,89.9,2022:03:10 06:35:25, _Campo20220310-Pampulha_0000SET_000_DJI_3611.TIF
-19.8516165,-43.9785406666667,835.613,89.9,2022:03:10 06:35:34, _Campo20220310-Pampulha_0000SET_000_DJI_3621.TIF
-19.8519831111111,-43.9785321111111,835.372,89.9,2022:03:10 06:35:48, _Campo20220310-Pampulha_0000SET_000_DJI_3631.TIF
-19.8521660555556,-43.9785280277778,836.05,89.9,2022:03:10 06:35:59, _Campo20220310-Pampulha_0000SET_000_DJI_3641.TIF
-19.8528625833333,-43.9785101111111,835.715,89.9,2022:03:10 06:36:10, _Campo20220310-Pampulha_0000SET_000_DJI_3651.TIF
-19.8529922777778,-43.9785053055556,835.83,90.0,2022:03:10 06:36:15, _Campo20220310-Pampulha_0000SET_000_DJI_3661.TIF
-19.8535271388889,-43.9785533333333,835.713,90.0,2022:03:10 06:36:28, _Campo20220310-Pampulha_0000SET_000_DJI_3671.TIF
-19.8539033333333,-43.9785891388889,835.009,89.9,2022:03:10 06:36:36, _Campo20220310-Pampulha_0000SET_000_DJI_3681.TIF
-19.8541513333333,-43.9786151388889,835.732,90.0,2022:03:10 06:36:46, _Campo20220310-Pampulha_0000SET_000_DJI_3691.TIF
-19.8546464444444,-43.9786677222222,835.521,89.9,2022:03:10 06:36:57, _Campo20220310-Pampulha_0000SET_000_DJI_3701.TIF
-19.8548238333333,-43.9786838055556,836.037,89.9,2022:03:10 06:37:07, _Campo20220310-Pampulha_0000SET_000_DJI_3711.TIF
-19.8550630277778,-43.9787093611111,836.287,89.9,2022:03:10 06:37:17, _Campo20220310-Pampulha_0000SET_000_DJI_3721.TIF
-19.8554924444444,-43.9787547777778,836.068,89.9,2022:03:10 06:37:27, _Campo20220310-Pampulha_0000SET_000_DJI_3731.TIF
-19.8557674722222,-43.9787839722222,835.822,90.0,2022:03:10 06:37:49, _Campo20220310-Pampulha_0000SET_000_DJI_3741.TIF
-19.8558184722222,-43.9787873888889,835.782,90.0,2022:03:10 06:37:52, _Campo20220310-Pampulha_0000SET_000_DJI_3751.TIF
-19.856014,-43.9788066944444,835.568,90.0,2022:03:10 06:38:05, _Campo20220310-Pampulha_0000SET_000_DJI_3761.TIF
-19.8561115,-43.9788321944444,835.544,90.0,2022:03:10 06:38:11, _Campo20220310-Pampulha_0000SET_000_DJI_3771.TIF
-19.8561222222222,-43.9788413888889,835.596,89.9,2022:03:10 06:38:12, _Campo20220310-Pampulha_0000SET_000_DJI_3781.TIF
-19.85632475,-43.9790046111111,835.475,89.3,2022:03:10 06:38:26, _Campo20220310-Pampulha_0000SET_000_DJI_3791.TIF
-19.8564141388889,-43.97907825,835.75,89.3,2022:03:10 06:38:32, _Campo20220310-Pampulha_0000SET_000_DJI_3801.TIF
-19.8566591388889,-43.9792804166667,836.002,89.3,2022:03:10 06:38:40, _Campo20220310-Pampulha_0000SET_000_DJI_3811.TIF
-19.856752,-43.9793568611111,836.199,89.3,2022:03:10 06:38:45, _Campo20220310-Pampulha_0000SET_000_DJI_3821.TIF
-19.8568841388889,-43.9794643888889,836.477,89.3,2022:03:10 06:38:53, _Campo20220310-Pampulha_0000SET_000_DJI_3831.TIF
-19.85702675,-43.97958025,836.536,89.3,2022:03:10 06:39:02, _Campo20220310-Pampulha_0000SET_000_DJI_3841.TIF
-19.8572744166667,-43.9797845555556,835.607,89.9,2022:03:10 06:39:11, _Campo20220310-Pampulha_0000SET_000_DJI_3851.TIF
-19.8575695277778,-43.9800240277778,835.35,90.0,2022:03:10 06:39:20, _Campo20220310-Pampulha_0000SET_000_DJI_3861.TIF
-19.8577324722222,-43.9801573055556,835.265,90.0,2022:03:10 06:39:24, _Campo20220310-Pampulha_0000SET_000_DJI_3871.TIF
-19.8577612222222,-43.9801445833333,835.677,90.0,2022:03:10 06:39:27, _Campo20220310-Pampulha_0000SET_000_DJI_3881.TIF
-19.85783,-43.9799386944444,835.954,90.0,2022:03:10 06:39:33, _Campo20220310-Pampulha_0000SET_000_DJI_3891.TIF
-19.8578590555556,-43.9798457222222,835.908,89.9,2022:03:10 06:39:39, _Campo20220310-Pampulha_0000SET_000_DJI_3901.TIF
-19.8579026944444,-43.9797105555556,835.608,90.0,2022:03:10 06:39:47, _Campo20220310-Pampulha_0000SET_000_DJI_3911.TIF
-19.85814775,-43.978942,835.042,54.5,2022:03:10 06:40:24, _Campo20220310-Pampulha_0000SET_000_DJI_3931.TIF
-19.8582866388889,-43.9785002222222,835.381,89.9,2022:03:10 06:40:41, _Campo20220310-Pampulha_0000SET_000_DJI_3941.TIF
-19.8583109166667,-43.9784255833333,835.359,90.0,2022:03:10 06:40:45, _Campo20220310-Pampulha_0000SET_000_DJI_3951.TIF
