Degree,Image Index
89.9, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF
89.7, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF
89.7, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0151.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0161.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0171.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0181.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0191.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0201.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0211.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0221.TIF
78.9, _Campo2022-03-TM_0000SET_000_DJI_0231.TIF
89.2, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF
89.2, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF
89.2, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF
89.2, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF
87.6, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF
87.6, _Campo2022-03-TM_0000SET_000_DJI_0311.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0341.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0351.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0361.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0371.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0381.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0391.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0401.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0411.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0421.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0431.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0441.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0451.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0461.TIF
45.7, _Campo2022-03-TM_0000SET_000_DJI_0491.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0501.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0511.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0521.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0531.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0541.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0551.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0561.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0571.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0581.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0591.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0601.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0611.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0641.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0651.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0661.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0671.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0681.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0691.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0701.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0711.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0721.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0731.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0751.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0761.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0771.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0781.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0791.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0811.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0821.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0831.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0841.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0851.TIF
90.0, _Campo2022-03-TM_0000SET_000_DJI_0861.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0871.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0881.TIF
89.9, _Campo2022-03-TM_0000SET_000_DJI_0891.TIF
