,lat_d,long_d,Altitude,DateTime,Image Index,Degree,Image Index.1,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
11,-18.2802163333333,-45.3723911666667,696.846,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF,89.9, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF,0.0591648871138587,0.1045858622233757,0.1016861744397955,0.0130125292830534,0.022673863771546,0000SET_000_DJI_0101.T,-0.4065682150721226,4.275779252189404,-0.4825157197023179,-0.7731006740146585,-0.6353512897284046,0.2229788257495155,0.1279675369315582,-1.3592322367172032,-59.947093729253936,0.2773787313545378,1.767701542675261,1.0285160475310928,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,13.879
73,-18.2797463055556,-45.3726481944444,696.566,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF,89.7, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF,0.0593507792004529,0.1050817005576145,0.1049418729744937,0.0129682605816734,0.0223555636112626,0000SET_000_DJI_0111.T,-0.4338633038113423,4.281297960115859,-0.5022505862877084,-0.780031449536169,-0.6487664762015478,0.2130280599879912,0.1235756539701302,-1.347199141501618,-60.26236533007412,0.2781136757436631,1.770519308646459,1.0013324288880834,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,45.059
135,-18.2797411944444,-45.3726581111111,696.156,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF,89.7, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF,0.0594825442239744,0.1056136875348686,0.1007152648651685,0.0129393147807547,0.0224116198635827,0000SET_000_DJI_0121.T,-0.390410765911199,4.291648801047561,-0.4742909281900775,-0.7723045596391181,-0.6359589554636171,0.2225245586514221,0.1284742168734508,-1.3552797427246963,-60.47219036259536,0.2794197227849405,1.775540856779645,1.0486363479881406,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,46.036
197,-18.2796795555556,-45.37283025,695.869,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF,90.0, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF,0.0600848370891139,0.1034448103251975,0.1028558623512269,0.0131837152524836,0.0229020550035769,0000SET_000_DJI_0131.T,-0.4134670954265809,4.173520770992077,-0.4889254554868733,-0.7727720916477718,-0.6357755362795524,0.2226616400859305,0.1281766051162405,-1.3559853011681622,-59.20801871082665,0.2651505333844982,1.721645848382262,1.0057259543647543,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,61.799
259,-18.2796683611111,-45.3728345,695.915,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF,89.9, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF,0.0605151117961989,0.1044207029653121,0.1037505951117894,0.0132917647254488,0.0230849401143596,0000SET_000_DJI_0141.T,-0.4140508738956972,4.180899658170942,-0.4890730076670632,-0.7728725780318745,-0.6359862388218108,0.2225041705976336,0.1281126600876569,-1.35531121641536,-58.70975665093068,0.2661980433576449,1.725531026315827,1.006458833829345,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,63.048
880,-18.2786781111111,-45.3750527777778,695.378,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF,0.0628567906219553,0.1062188286395628,0.1038364748302863,0.015208493695277,0.0260623866325335,0000SET_000_DJI_0261.T,-0.3858043318043849,4.095851730492942,-0.459995879580104,-0.7444916171822722,-0.5987280205686301,0.2509945245650019,0.1464658129056697,-1.2990419045430015,-49.843551277894726,0.2564653508708264,1.6898544705917826,1.02294332327027,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,90.258
942,-18.2786723611111,-45.3751026666667,695.279,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF,0.0632129073540302,0.1068391272484948,0.1048352614956734,0.0154173306582007,0.0262045717193915,0000SET_000_DJI_0271.T,-0.3895796906393167,4.095602862401508,-0.462391937621159,-0.7435842274655864,-0.6000518151395371,0.2499595207331359,0.1470624524443713,-1.2851381617678272,-49.04251729543892,0.2565462977049074,1.6901473404811391,1.0191144250916386,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,84.952
1004,-18.2784811944444,-45.3757551944444,695.311,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF,0.0641342024725617,0.1046896533455287,0.1013977507716659,0.0151165862570278,0.0262390508227745,0000SET_000_DJI_0281.T,-0.3559429906231104,3.961769406851875,-0.4451900448824942,-0.7405197224217123,-0.588848192762652,0.2587734996396647,0.1490820668307359,-1.326651592949745,-50.56019754336013,0.2402234605793268,1.632352930408976,1.0324652425602192,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,18.201
1066,-18.2784714722222,-45.3757888333333,695.388,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF,89.2, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF,0.0638271577720999,0.1043904407876329,0.1013064118302848,0.0149221755451847,0.0258911665129748,0000SET_000_DJI_0291.T,-0.3590295603256525,3.96985853803262,-0.4483195929736842,-0.7432271030365446,-0.5928984364292843,0.2555728314250177,0.1472974442149162,-1.3294348913559966,-51.34704497341898,0.2411357869975138,1.635517613996969,1.0304425840539555,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,16.056
1128,-18.2785198055556,-45.3763378333333,695.082,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF,87.6, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF,0.0643970045227572,0.1048117574812218,0.1034334552866937,0.0154092311382126,0.0266233832207101,0000SET_000_DJI_0301.T,-0.3724434328937792,3.95006370915036,-0.4539367297313917,-0.740678512043746,-0.5905884915202748,0.2573962471515257,0.1489772443113474,-1.3143296574917738,-49.36749197485044,0.2388455094158435,1.6275874671186368,1.0133254969652494,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,46.564
