,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
11,-18.2802163333333,-45.3723911666667,696.846,89.9,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF,0.0530779437793512,0.0937127972278189,0.0906154113860134,0.0118856133650539,0.0204193058992377,0000SET_000_DJI_0101.T,2.431084397167044e+16,160047205189.94687,33794.64054410892,68903.38544244206,-0.4005586079711971,4.288588030246638,-0.4782052669340154,-0.7680879114346584,-0.6321996147064531,0.2253403211099855,0.1311654737671748,-1.333280873209532,-65.29511237006868,0.2768216385424668,1.765569473026116,1.0341816672730306,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,13.879
73,-18.2797463055556,-45.3726481944444,696.566,89.7,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF,0.0531189077531633,0.0940141695925174,0.0934262990846012,0.0118381725605873,0.0201590216810982,0000SET_000_DJI_0111.T,3.075696513515082e+17,1158560176644.953,64634.22953779651,87207.61912775738,-0.4287374074157218,4.297685081444383,-0.4979660503624603,-0.7750775285228269,-0.6450417792510061,0.2157745932207312,0.1267113508356717,-1.3233754465778984,-65.64680903234213,0.277947437633436,1.769881452182509,1.0062923450214365,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,45.059
135,-18.2797411944444,-45.3726581111111,696.156,89.7,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF,0.0532498388116738,0.0944546713225829,0.0897025187587806,0.0118165084826567,0.0202321332635439,0000SET_000_DJI_0121.T,1.4164975881260296e+16,120561682488.27908,26529.589351236213,59293.70790776144,-0.3859277623508223,4.30565521331331,-0.4703335425038225,-0.7672060341052299,-0.6319243679520568,0.2255469918068879,0.131729951913976,-1.3322448521736785,-65.84796742982306,0.2789680049272414,1.7738020138734372,1.0529768018731038,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,46.036
197,-18.2796795555556,-45.37283025,695.869,90.0,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF,0.0537609003479027,0.0926058803693541,0.0915724102343046,0.0119897731367684,0.0206096562439343,0000SET_000_DJI_0131.T,3.875784226111322e+16,217008500578.6964,36834.77038703017,76931.14563692224,-0.4083057116415556,4.193300845603208,-0.4848282762155724,-0.7684526774834802,-0.6325677197623711,0.225064036113069,0.1309321563786559,-1.3355785763870391,-64.80353483722553,0.2653947830996568,1.722550771472837,1.0112858243264011,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,61.799
259,-18.2796683611111,-45.3728345,695.915,89.9,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF,0.0541931263380562,0.093534131341657,0.0923566011410601,0.0120782940557063,0.0207817177002788,0000SET_000_DJI_0141.T,5.623707982020563e+16,272895382267.22208,40527.96896046962,84982.15309205928,-0.4080165631046723,4.199451601865693,-0.4845069526435161,-0.7686923698645071,-0.6326316686847304,0.2250160513003072,0.1307788929700717,-1.3371086927512887,-64.34062439089675,0.2663083686891139,1.7259408648652597,1.012749821734977,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,63.048
880,-18.2786781111111,-45.3750527777778,695.378,89.2,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF,0.056287499821441,0.0953167924292269,0.0924622195385042,0.0135889198351543,0.0232545854020185,0000SET_000_DJI_0261.T,835720233694870.5,17510268217.774597,27955.01019370968,102918.32055074869,-0.3795209510844909,4.121417947961252,-0.4565018121126501,-0.7437289233211278,-0.5980776445742496,0.251503646766067,0.1469672683932862,-1.29815077776253,-55.823432468069306,0.2574418707305033,1.6933918317849832,1.030872857097422,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,90.258
942,-18.2786723611111,-45.3751026666667,695.279,89.2,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF,0.0566644653173377,0.0958655462042484,0.0933666922058578,0.0138012490449195,0.0234598809658381,0000SET_000_DJI_0271.T,957944417846920.4,22556610142.6128,31894.39300199223,110138.7852051709,-0.3828510694585037,4.116818816217814,-0.4583151246279587,-0.7424369847205701,-0.5983810818218569,0.2512660608572596,0.1478176930000912,-1.2858235384501802,-54.80946558606055,0.2570056901973219,1.691810655361753,1.0267638698485864,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,84.952
1004,-18.2784811944444,-45.3757551944444,695.311,89.2,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF,0.0573582624111052,0.0933540956674702,0.0905011569795721,0.0138982893915501,0.0237927801441444,0000SET_000_DJI_0281.T,94968888706459.58,3903137490.042328,15146.91466307374,84753.54777771536,-0.3550234655640903,3.968523276102001,-0.4426204837207086,-0.7337478334483871,-0.5836563033367184,0.2629002870042302,0.1535702951807259,-1.2971114919340514,-54.51702088094489,0.2388379673390699,1.627561431313439,1.0315237813870386,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,18.201
1066,-18.2784714722222,-45.3757888333333,695.388,89.2,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF,0.0570278821964885,0.0930741955885162,0.0901902739928596,0.013682718304923,0.0234182560296198,0000SET_000_DJI_0291.T,126015236260050.02,4764017551.07385,14986.67998118026,79153.00404336322,-0.3563006006840287,3.979932598366077,-0.4448440617782732,-0.7365490681986431,-0.5877377160854718,0.2596538960672614,0.1517094659897171,-1.3008750055872262,-55.5496106944026,0.2401453325893184,1.632082272805271,1.0319759711106424,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,16.056
1128,-18.2785198055556,-45.3763378333333,695.082,87.6,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF,0.057650631492804,0.093678993059264,0.0920376744002336,0.0141468948617323,0.0241410112132643,0000SET_000_DJI_0301.T,159289885312412.78,5980940136.386084,20023.92240152583,101632.73184622932,-0.3670731482529426,3.961623722926216,-0.4486673603264514,-0.7335414183047487,-0.5844158317718212,0.262294884899906,0.1537076523708469,-1.2877063108074855,-53.341026166292245,0.2380787084690329,1.62494305150772,1.0178331174676687,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,46.564
