,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,region,season,obs,campanha,station,spot,date,time,lat_utm,lon_utm,lat_p,long_p,depth_m,secchi_cm,temp_c,ph,orp_mv,cond_uscm,od_mgl,chl_rfu,chl_ugl,pc_rfu,pc_ugl,fdom_rfu,fdom_ugl,turb_unt,tss_mgl,sdt_mgl,alt_m,ref,total_depth_m,photiczone_m,perfil_vertical,od_pct,odo_local_pct,st_mgl,ecoli,ct,dqo_mgl,dbo_mgl,color_r_uh,color_a_uh,solar_elev,total_hardness,c_total_mgl,c_org_mgl,c_inorg_mgl,n_total_mgl,nitrato_mgl,nitrito_mgl,chloride_mgl,phosphate_mgl,sulfate_mgl,lithium_mgl,sodium_mgl,amonio_mgl,potassium_mgl,calcium_mgl,magnesium,chla_mgl,chlb_ugl,chlc_ugl,feof_ugl,caroten_mgl,press_mmhg,id,Distance
11,-18.2802163333333,-45.3723911666667,696.846,89.9,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF,0.0560196850497785,0.0990010588809079,0.0958290042157503,0.0124121251738192,0.0215987441236635,0000SET_000_DJI_0101.T,3.5335719141198656e+17,702040701838.5691,62950.97667541673,139296.74381801736,-0.4021100341346846,4.283563905938941,-0.478840819685893,-0.7706578775772589,-0.632135599479701,0.2253883811109618,0.1295236789257919,-1.354576309067931,-62.715512592413305,0.2772620795210958,1.7672548282436185,1.0331011961474212,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,13.879
73,-18.2797463055556,-45.3726481944444,696.566,89.7,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF,0.0561109617765524,0.0994093499664324,0.0989044721466993,0.0123734316116314,0.021331560991757,0000SET_000_DJI_0111.T,5.637709919811055e+18,5984069781792.36,126958.31387946793,180074.097899534,-0.4304777205021158,4.292706488984679,-0.4987960111804589,-0.7776120650420667,-0.6451719100347746,0.215678427160676,0.1251048748663114,-1.3438135537738674,-62.9964939880934,0.2784098598094091,1.7716564966807162,1.005104701625466,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,45.059
135,-18.2797411944444,-45.3726581111111,696.156,89.7,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF,0.056243890308662,0.0998171852467658,0.0948559401065555,0.0123503529526252,0.0213857180021787,0000SET_000_DJI_0121.T,1.903903208215848e+17,527986405869.2951,48227.388683761645,117201.176697869,-0.3868276760403297,4.2988595969830055,-0.4707786476729911,-0.7695964928885756,-0.6320472651521509,0.225454705083891,0.1302011549171464,-1.3513557560756388,-63.18963693143096,0.2792066809934805,1.7747205020665715,1.0523029462850415,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,46.036
197,-18.2796795555556,-45.37283025,695.869,90.0,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF,0.0568134843810049,0.0979067294043073,0.0969718050559962,0.0125605511820711,0.0218103233773288,0000SET_000_DJI_0131.T,5.713594084194851e+17,1030185111903.613,70062.33802763296,156164.26722068532,-0.4101691571082608,4.186110248237187,-0.485789670527217,-0.7706513104717498,-0.6327675945027132,0.2249140702777932,0.1295278681758891,-1.3525210842851696,-62.012885406874624,0.2655971318674808,1.7233009112365156,1.0096411977457904,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,61.799
259,-18.2796683611111,-45.3728345,695.915,89.9,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF,0.0571798823123022,0.0987478257083038,0.0976827478529345,0.0126519008511397,0.0219287134264348,0000SET_000_DJI_0141.T,7.729214528729966e+17,1330130793904.4956,76787.03934321218,167594.3267318734,-0.410164631475287,4.193116734371557,-0.4858279223631551,-0.7706631416378904,-0.6333342441955921,0.2244891130565799,0.1295203209290106,-1.3497306909619795,-61.550838150627456,0.2665847136706989,1.7269679774604625,1.0109034387215723,,Chuvoso,,Campanha 11,,100,2022-03-24,13:24:47,,,-18.28011,-45.37246,0.511,120,29.539,8.09,122,67.3,7.37,0.64,,-0.15,,3.29,10.28,3.9,-90,40,573.7,,,,,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.7,1328,63.048
880,-18.2786781111111,-45.3750527777778,695.378,89.2,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF,0.0595385348018074,0.1007244209940629,0.0980570043611634,0.0143815683619951,0.0247210033794463,0000SET_000_DJI_0261.T,7203618839032564.0,68713297634.98418,53428.72979088622,211694.2309780917,-0.3824144053568342,4.108770991361272,-0.4575979559189363,-0.7441879950325447,-0.597305676572407,0.2521084907753651,0.1466653856671465,-1.3037264012052034,-52.73760054129342,0.2569894333205402,1.6917517592489566,1.0272027138731965,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,90.258
942,-18.2786723611111,-45.3751026666667,695.279,89.2,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF,0.0598549244957086,0.1012410167070696,0.0988803742057117,0.0145891198836062,0.0248858103808038,0000SET_000_DJI_0271.T,7862748704443354.0,88474869082.08894,60547.026171072175,221845.02029838067,-0.3854707408057665,4.107226467676727,-0.4593198517135068,-0.7428538833155928,-0.5978576787521792,0.2516759324659423,0.14754312977472,-1.290009925421547,-51.83716767433957,0.2569033825580161,1.691440053764135,1.0238737213559366,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,84.952
1004,-18.2784811944444,-45.3757551944444,695.311,89.2,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF,0.0605106150181503,0.0986331873114996,0.0955622318686959,0.0144648956526245,0.0249663707093477,0000SET_000_DJI_0281.T,942229970492434.0,15540580625.064323,26189.789140922963,163578.05385020364,-0.3553734580212532,3.9656562022195168,-0.4435979292056639,-0.7370667402032907,-0.5857187393642651,0.261257718882622,0.1513662392533852,-1.3134023982049703,-52.6068611852029,0.2395479543361817,1.6300146227552694,1.032135660529813,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,18.201
1066,-18.2784714722222,-45.3757888333333,695.388,89.2,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF,0.0601625667319219,0.098303107243941,0.0952626825599206,0.0142441042763619,0.0245575510216863,0000SET_000_DJI_0291.T,1291465542069347.5,19782202029.935585,26054.140380164736,151357.1262308217,-0.3570600849970806,3.9757127957910665,-0.4461857875226904,-0.7398498360168769,-0.590093420992028,0.257787733473068,0.1495244926301787,-1.315863655921291,-53.58285338628747,0.240686449974198,1.6339580005282912,1.0319162194714384,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,16.056
1128,-18.2785198055556,-45.3763378333333,695.082,87.6,2022-03-24, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF,0.060816251418059,0.0990115794544317,0.0973940426653979,0.0148021874071,0.025445974083909,0000SET_000_DJI_0301.T,1582393886049013.2,24344747706.356464,36819.06242554778,204601.03422643855,-0.3694294288495132,3.960279214430736,-0.4501598262876286,-0.7361375262335417,-0.5857054605285607,0.2612682807646656,0.1519824724593644,-1.300661025557724,-51.11460937862894,0.2389779541389422,1.628044760171306,1.0166081697069598,,Chuvoso,,Campanha 11,,290,2022-03-24,13:27:43,,,-18.27857,-45.3759,0.426,110,29.663,8.01,129.2,67.5,7.34,0.65,,-0.09,,3.23,10.1,3.71,-95,40,574.4,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.5,1329,46.564
