Latitude,Longitude,Altitude,Gimbal Degree,DateTime,Image Index
-18.2802163333333,-45.3723911666667,696.846,89.9,2022:03:24 07:05:36, _Campo2022-03-TM_0000SET_000_DJI_0101.TIF
-18.2797463055556,-45.3726481944444,696.566,89.7,2022:03:24 07:05:53, _Campo2022-03-TM_0000SET_000_DJI_0111.TIF
-18.2797411944444,-45.3726581111111,696.156,89.7,2022:03:24 07:06:03, _Campo2022-03-TM_0000SET_000_DJI_0121.TIF
-18.2796795555556,-45.37283025,695.869,90.0,2022:03:24 07:06:18, _Campo2022-03-TM_0000SET_000_DJI_0131.TIF
-18.2796683611111,-45.3728345,695.915,89.9,2022:03:24 07:06:33, _Campo2022-03-TM_0000SET_000_DJI_0141.TIF
-18.2793006388889,-45.3732891944444,696.046,90.0,2022:03:24 07:06:49, _Campo2022-03-TM_0000SET_000_DJI_0151.TIF
-18.2788803055556,-45.37369725,695.38,90.0,2022:03:24 07:07:00, _Campo2022-03-TM_0000SET_000_DJI_0161.TIF
-18.2788759722222,-45.3737010833333,695.414,89.9,2022:03:24 07:07:02, _Campo2022-03-TM_0000SET_000_DJI_0171.TIF
-18.2788607222222,-45.3739986944444,695.555,90.0,2022:03:24 07:07:15, _Campo2022-03-TM_0000SET_000_DJI_0181.TIF
-18.2788607777778,-45.3740146944444,695.676,89.9,2022:03:24 07:07:23, _Campo2022-03-TM_0000SET_000_DJI_0191.TIF
-18.2788571944444,-45.3742197777778,695.376,90.0,2022:03:24 07:07:34, _Campo2022-03-TM_0000SET_000_DJI_0201.TIF
-18.2789912777778,-45.3740979444444,694.924,90.0,2022:03:24 07:07:45, _Campo2022-03-TM_0000SET_000_DJI_0211.TIF
-18.2792173333333,-45.3738063333333,694.893,89.9,2022:03:24 07:07:50, _Campo2022-03-TM_0000SET_000_DJI_0221.TIF
-18.2786878333333,-45.3744395277778,695.289,78.9,2022:03:24 07:08:41, _Campo2022-03-TM_0000SET_000_DJI_0231.TIF
-18.2786781111111,-45.3750527777778,695.378,89.2,2022:03:24 07:09:19, _Campo2022-03-TM_0000SET_000_DJI_0261.TIF
-18.2786723611111,-45.3751026666667,695.279,89.2,2022:03:24 07:09:26, _Campo2022-03-TM_0000SET_000_DJI_0271.TIF
-18.2784811944444,-45.3757551944444,695.311,89.2,2022:03:24 07:09:38, _Campo2022-03-TM_0000SET_000_DJI_0281.TIF
-18.2784714722222,-45.3757888333333,695.388,89.2,2022:03:24 07:09:39, _Campo2022-03-TM_0000SET_000_DJI_0291.TIF
-18.2785198055556,-45.3763378333333,695.082,87.6,2022:03:24 07:09:57, _Campo2022-03-TM_0000SET_000_DJI_0301.TIF
-18.2785562222222,-45.3763282222222,695.389,87.6,2022:03:24 07:10:00, _Campo2022-03-TM_0000SET_000_DJI_0311.TIF
-18.2816381111111,-45.3719666388889,696.078,90.0,2022:03:24 07:11:08, _Campo2022-03-TM_0000SET_000_DJI_0341.TIF
-18.2820219444444,-45.3714573888889,696.235,89.9,2022:03:24 07:11:14, _Campo2022-03-TM_0000SET_000_DJI_0351.TIF
