,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
59,-19.8495777777778,-43.9916526666667,840.023,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8641.TIF,0.0669239545777533,0.1644092238213548,0.1660510401473908,0.0774515455958285,0.1523079171334941,0000SET_000_DJI_8641.T,-0.60292897968637,5.500141847746923,-0.0594083525286042,-0.3638544300510759,-0.0431686393600394,0.9172355499748872,0.4664321616238036,0.3093426483627152,2.0310345921911868,0.4214063452472642,2.456657333815228,0.9901125802971262,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,34.369
60,-19.8493244722222,-43.99186375,840.176,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8651.TIF,0.0633687888833326,0.1610463190883073,0.1640493518875338,0.075214744432357,0.1446107556222078,0000SET_000_DJI_8651.T,-0.6251652541589265,5.63708916130154,-0.0866189288280116,-0.3712826488450941,-0.062977352085295,0.8815076314434184,0.458488519259262,0.359411776398535,2.485373752817459,0.4352538074990858,2.541413871500802,0.98169433304872,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,91.206
89,-19.8493244722222,-43.99186375,840.176,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8651.TIF,0.0633687888833326,0.1610463190883073,0.1640493518875338,0.075214744432357,0.1446107556222078,0000SET_000_DJI_8651.T,-0.6251652541589265,5.63708916130154,-0.0866189288280116,-0.3712826488450941,-0.062977352085295,0.8815076314434184,0.458488519259262,0.359411776398535,2.485373752817459,0.4352538074990858,2.541413871500802,0.98169433304872,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,49.776
90,-19.8490206944444,-43.9921163055556,840.469,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8661.TIF,0.0637950251719979,0.1583582223530232,0.1666066799401943,0.0746264466473906,0.1470927284019415,0000SET_000_DJI_8661.T,-0.6492347112801096,5.547050163539317,-0.087840046254804,-0.3812918838881288,-0.0622058920715907,0.8828741347870471,0.4479198953738155,0.3346548188808261,2.275128230447651,0.4256665082979471,2.4822973566680675,0.9504914353366144,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,48.463
119,-19.8490206944444,-43.9921163055556,840.469,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8661.TIF,0.0637950251719979,0.1583582223530232,0.1666066799401943,0.0746264466473906,0.1470927284019415,0000SET_000_DJI_8661.T,-0.6492347112801096,5.547050163539317,-0.087840046254804,-0.3812918838881288,-0.0622058920715907,0.8828741347870471,0.4479198953738155,0.3346548188808261,2.275128230447651,0.4256665082979471,2.4822973566680675,0.9504914353366144,2022-06-15,12:09:47,-19.84977,-43.99191,A3,,,,não mensurado,,,0,,,,,,,,,,,,,,,,,4674,,149,86.068
120,-19.8487194722222,-43.9923663055556,840.212,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8671.TIF,0.0624653519866406,0.1545469926500465,0.1645103300707556,0.0729664973797278,0.1459502521173812,0000SET_000_DJI_8671.T,-0.660284463219442,5.537952659918014,-0.0855254478008931,-0.3854853278689506,-0.0597823975673895,0.8871798631405593,0.4435374808885559,0.3362628041221011,2.303954938369412,0.4243152195676476,2.4741234578026443,0.9394364024652806,2022-06-15,12:13:36,-19.84865,-43.99236,A2,,,,,,0.3,30,12.13,5.53,347.5,0.158,34.13,11.04,4.81,156.7,0.225,0.19,385.5,251.0,22.49,7.04,19.837,0.262,4674,697.2,120,7.753
363,-19.8474663333333,-43.9926246111111,849.774,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8751.TIF,0.0715988663805272,0.1511269532914988,0.1290988814723202,0.0694909603704856,0.1361422173343628,0000SET_000_DJI_8751.T,-0.3804749175409169,4.915683118419183,0.0316233469133225,-0.3001559422612229,0.0265544664598755,1.05455768308537,0.5382770135416316,-0.0576779215275251,-0.4236593369554811,0.3570672094868945,2.110745056888232,1.1706294552513343,2022-06-15,12:15:40,-19.847638,-43.991933,P0,,,,,,0.3,30,16.39,8.21,336.2,0.19,33.09,10.7,4.74,155.9,0.27,0.18,372.2,242.0,28.44,7.1,19.934,0.359,4674,697.0,123,74.812
396,-19.8467175833333,-43.9928913888889,851.606,89.9,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8761.TIF,0.0596637177094658,0.1548967470994885,0.1581787612046696,0.0741564361665082,0.1449719855397895,0000SET_000_DJI_8761.T,-0.6360045988049616,5.727295986224505,-0.0615526988004965,-0.3616426868974469,-0.0435650441462139,0.916507275918088,0.468814116394275,0.4748700517283352,3.2755987300594764,0.4438517108676972,2.596163180004349,0.9792512339824532,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,86.018
426,-19.8463896944444,-43.9925185277778,851.035,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8771.TIF,0.0630798112116615,0.1597819687133202,0.1627370814069095,0.0762823426745125,0.148584471790689,0000SET_000_DJI_8771.T,-0.6237078626440788,5.625304333419646,-0.0635039782101016,-0.361705911829769,-0.0454597809591349,0.9130338980282364,0.4687459183551125,0.4076770173547198,2.7437390491855336,0.4339109089688235,2.5330127919561924,0.98184118414782,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,32.651
456,-19.8462485,-43.9923386388889,851.191,90.0,2022-06-15, _Campo20220615-Pampulha_0000SET_000_DJI_8781.TIF,0.0621245316986445,0.1564366157675261,0.1667033686613279,0.0753749268365204,0.145430206801698,0000SET_000_DJI_8781.T,-0.6685061323372888,5.605445981836069,-0.0973327698278241,-0.3772681959652151,-0.0681540325422307,0.8723891302829749,0.4521499921795281,0.4115223430170771,2.829689595217383,0.4315134925043319,2.5181134004578647,0.93841304482179,2022-06-15,12:19:27,-19.84618,-43.9923,A0,,,,,,0.25,25,17.2,9.74,329.4,0.064,30.83,9.97,6.82,153.3,0.091,0.17,359.8,234.0,32.92,7.3,20.57,0.108,4674,697.0,126,8.623
