,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
11,-19.85542025,-43.9783187777778,857.202,89.9,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_0311.TIF,0.0604349761445101,0.1330306250762469,0.2155337220834569,0.0569526728971228,0.1143284530184602,0000SET_000_DJI_0311.T,2.220536513620325e+19,209548292640.19565,3.1839576106985354e+22,inf,4.11034806412286e+17,-1.1658875228922023,5.101452876452552,-0.523117641722338,-0.5819778605740528,-0.3068107734199213,0.5304434587465207,0.2642401956714232,-0.1156693909264324,-1.011728820539151,0.3752380189225494,2.2012191211617016,0.6172149016418697,2022-09-14,10:02:21,-19.8561,-43.97881,P6,,,,,,0.5,50.0,4.02,11.57,340.6,0.312,26.91,8.69,10.53,117.8,0.442,0.16,346.3,225.0,53.68,8.54,24.131,0.395,4674,694.0,227,91.391
77,-19.8532294444444,-43.9806001388889,854.12,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_0331.TIF,0.0614038989019824,0.1405623580505925,0.2156511530506454,0.0572041136876217,0.1134972102693372,0000SET_000_DJI_0331.T,1.9160858013816205e+19,260993926684.106,1.4860120110141352e+22,inf,2.5558931757907866e+17,-1.0973581852770633,5.246957522991199,-0.5057970787926999,-0.5806999485738787,-0.3103583495021025,0.5263000390388941,0.2652622667599991,-0.1357028779011221,-1.1956494576306262,0.3919390315145458,2.2891438583561103,0.6518043426254327,2022-09-14,10:20:15,-19.85255,-43.98122,A18,,,,Ponto Tiago,,0.4,40.0,4.92,9.79,340.3,0.269,26.82,8.66,10.8,140.3,0.382,0.17,346.8,225.0,36.62,8.59,24.012,0.417,4674,693.9,231,99.553
108,-19.8520090555556,-43.9818731111111,853.612,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_0341.TIF,0.0587892178754155,0.13501879744209,0.2033377224802217,0.0572705540190921,0.2237721846596332,0000SET_000_DJI_0341.T,1.3285741662799528e+17,140646.31678177358,3.881783142764018e+20,inf,9.639060249983918e+35,-1.0705805957633678,5.266309432492249,0.1054366205955661,-0.5604855318611273,0.0478435686876266,1.1004951856948193,0.2816523826495731,-0.1009342806205345,-0.4510582080344782,0.3933252164096081,2.2966591889046413,0.6640125393123897,2022-09-14,10:20:15,-19.85255,-43.98122,A18,,,,Ponto Tiago,,0.4,40.0,4.92,9.79,340.3,0.269,26.82,8.66,10.8,140.3,0.382,0.17,346.8,225.0,36.62,8.59,24.012,0.417,4674,693.9,231,91.016
234,-19.8503724166667,-43.9835790555556,853.936,89.9,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_0381.TIF,0.0618214409120844,0.1312500429040744,0.186308728266037,0.0575684230491819,0.1121446374033511,0000SET_000_DJI_0381.T,199998005791975.2,420701679.4072319,2.7358433299096296e+16,inf,4444426757950360.0,-0.948474260270799,4.96114886403953,-0.384127626704855,-0.5278899828153815,-0.2484947378507409,0.6019290585420973,0.3089947721986372,-0.1340146453727184,-1.1950160834771566,0.3596004993575302,2.1230505301667697,0.704476081854081,2022-09-14,10:26:18,-19.85014,-43.98422,B4,,,,,,0.3,30.0,5.47,10.58,352.3,0.241,26.7,8.62,9.87,133.3,0.342,0.17,355.8,231.0,43.38,8.4,24.476,0.373,4674,694.0,233,71.844
265,-19.8497054722222,-43.9842738333333,853.58,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_0391.TIF,0.0618675590444178,0.1339622203276545,0.1647622342056504,0.1181044697185938,0.2219454210031723,0000SET_000_DJI_0391.T,282961.49578345526,2558.0833467530133,7006021766790.005,inf,6.531215990314556e+20,-0.7680872630325576,5.035525347293805,0.2920045509977065,-0.1649461171632,0.1478718769263642,1.3470648906481073,0.7168176025774206,1.7081984719903411,7.696479901542666,0.3681496323715835,2.165306380222248,0.8130638733658322,2022-09-14,10:26:18,-19.85014,-43.98422,B4,,,,,,0.3,30.0,5.47,10.58,352.3,0.241,26.7,8.62,9.87,133.3,0.342,0.17,355.8,231.0,43.38,8.4,24.476,0.373,4674,694.0,233,48.644
270,-19.8497054722222,-43.9842738333333,853.58,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_0391.TIF,0.0618675590444178,0.1339622203276545,0.1647622342056504,0.1181044697185938,0.2219454210031723,0000SET_000_DJI_0391.T,282961.49578345526,2558.0833467530133,7006021766790.005,inf,6.531215990314556e+20,-0.7680872630325576,5.035525347293805,0.2920045509977065,-0.1649461171632,0.1478718769263642,1.3470648906481073,0.7168176025774206,1.7081984719903411,7.696479901542666,0.3681496323715835,2.165306380222248,0.8130638733658322,2022-09-14,10:34:45,-19.84971,-43.98428,B1,,,,,,0.3,30.0,13.46,12.22,370.4,0.24,30.6,9.89,6.43,136.1,0.34,0.18,383.5,249.0,46.02,7.65,23.21,0.441,4674,694.0,238,0.818
296,-19.8498216388889,-43.9842585555556,853.661,89.9,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_0401.TIF,0.059530876240019,0.1360877846140503,0.1706725438849035,0.1167433364432213,0.2274808205574261,0000SET_000_DJI_0401.T,828081.888436397,3696.690624201527,211158034804543.4,inf,2.45674036691526e+22,-0.8166909907460551,5.246724702450173,0.2904031569610904,-0.1876347520537646,0.1426793837397071,1.332849533846712,0.6840194315141254,1.8726690526675789,8.232206337566096,0.3913579003137253,2.2860033852914587,0.7973619043601053,2022-09-14,10:26:18,-19.85014,-43.98422,B4,,,,,,0.3,30.0,5.47,10.58,352.3,0.241,26.7,8.62,9.87,133.3,0.342,0.17,355.8,231.0,43.38,8.4,24.476,0.373,4674,694.0,233,35.629
301,-19.8498216388889,-43.9842585555556,853.661,89.9,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_0401.TIF,0.059530876240019,0.1360877846140503,0.1706725438849035,0.1167433364432213,0.2274808205574261,0000SET_000_DJI_0401.T,828081.888436397,3696.690624201527,211158034804543.4,inf,2.45674036691526e+22,-0.8166909907460551,5.246724702450173,0.2904031569610904,-0.1876347520537646,0.1426793837397071,1.332849533846712,0.6840194315141254,1.8726690526675789,8.232206337566096,0.3913579003137253,2.2860033852914587,0.7973619043601053,2022-09-14,10:34:45,-19.84971,-43.98428,B1,,,,,,0.3,30.0,13.46,12.22,370.4,0.24,30.6,9.89,6.43,136.1,0.34,0.18,383.5,249.0,46.02,7.65,23.21,0.441,4674,694.0,238,12.615
327,-19.8499459166667,-43.9842431666667,853.646,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_0411.TIF,0.0609106712021597,0.1344411422552446,0.1748318803942412,0.0609284675635958,0.1861267664487497,0000SET_000_DJI_0411.T,792284076763.639,37639.29093947176,490686123325862.0,inf,1.7236188705982376e+27,-0.8473686498125345,5.110429977291097,0.0578181786726608,-0.483132188331414,0.0312913574817935,1.0646042702797616,0.3484974675454141,0.0008925373716428,0.0047953198170915,0.3764002481047759,2.207185368373969,0.7689738390508838,2022-09-14,10:26:18,-19.85014,-43.98422,B4,,,,,,0.3,30.0,5.47,10.58,352.3,0.241,26.7,8.62,9.87,133.3,0.342,0.17,355.8,231.0,43.38,8.4,24.476,0.373,4674,694.0,233,21.717
332,-19.8499459166667,-43.9842431666667,853.646,90.0,2022-09-14, _Campo2022-09-14-Pampulha_0000SET_000_DJI_0411.TIF,0.0609106712021597,0.1344411422552446,0.1748318803942412,0.0609284675635958,0.1861267664487497,0000SET_000_DJI_0411.T,792284076763.639,37639.29093947176,490686123325862.0,inf,1.7236188705982376e+27,-0.8473686498125345,5.110429977291097,0.0578181786726608,-0.483132188331414,0.0312913574817935,1.0646042702797616,0.3484974675454141,0.0008925373716428,0.0047953198170915,0.3764002481047759,2.207185368373969,0.7689738390508838,2022-09-14,10:34:45,-19.84971,-43.98428,B1,,,,,,0.3,30.0,13.46,12.22,370.4,0.24,30.6,9.89,6.43,136.1,0.34,0.18,383.5,249.0,46.02,7.65,23.21,0.441,4674,694.0,238,26.514
