Degree,Image Index
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2451.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2461.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2471.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2481.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2491.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2501.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2511.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2521.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2531.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2541.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2551.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2561.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2571.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2581.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2591.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2601.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2611.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2621.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2631.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2641.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2651.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2661.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2671.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2681.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2691.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2701.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2711.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2721.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2731.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2741.TIF
90.0, _Campo220512-Pampulha_0000SET_000_DJI_2751.TIF
89.9, _Campo220512-Pampulha_0000SET_000_DJI_2761.TIF
