,lat_d,long_d,Altitude,DateTime,Image Index,Degree,Image Index.1,Blue,Green,Red,Near-IR,RedEdge,Image,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
24,-19.8556835833333,-43.9787620833333,844.157,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2451.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2451.TIF,0.0566334856790382,0.0816315291915162,0.0773901162111334,0.0465741765370504,0.0684487615380382,0000SET_000_DJI_2451.T,-0.2542722246865908,3.5114100218534965,-0.0646682364404779,-0.2485872261352008,-0.0613098154010307,0.8844638681159017,0.6018103966918479,-0.2610449357570076,-3.8137276685706034,0.1807980387220983,1.441400404950362,1.054805615859414,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,40.342
54,-19.8558574166667,-43.9788934444444,842.345,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2461.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2461.TIF,0.0553481591694332,0.0809316160633768,0.0802523639594344,0.0450846799388368,0.0672809216423553,0000SET_000_DJI_2461.T,-0.3077191090623836,3.5693110527128926,-0.0951824457805252,-0.2805849166918374,-0.0879221408522725,0.8383668508053439,0.5617863164956237,-0.2767288049899263,-4.113035288977336,0.1877274661646512,1.4622277827818424,1.0084639513458538,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,16.628
84,-19.8559793055556,-43.9789862222222,842.223,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2471.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2471.TIF,0.053966174706025,0.0794736600462379,0.0784722346030686,0.042894474606443,0.0652250302657911,0000SET_000_DJI_2471.T,-0.3083544898119192,3.600221412241595,-0.0992747357778996,-0.2931426601936517,-0.0921882845116578,0.831186095256685,0.546619767149662,-0.3119648151833803,-4.782900274819774,0.1911534541958082,1.472656909242914,1.012761525757929,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,0.041
114,-19.8561700833333,-43.9791280555556,842.318,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2481.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2481.TIF,0.052765522638272,0.081379309164968,0.0767823397411037,0.0414411691942177,0.0635759374803462,0000SET_000_DJI_2481.T,-0.2951219093559276,3.77843791845682,-0.0984488338703073,-0.2989352191045244,-0.0940906551590194,0.8280020860879322,0.5397226671386923,-0.3292486058026822,-5.178824235261427,0.213305172790152,1.542281874527322,1.059870139922337,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,25.926
144,-19.8564397777778,-43.9793344166667,842.07,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2491.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2491.TIF,0.0519361542884654,0.0870015057960208,0.084083977893378,0.0400008594972106,0.0625183667688991,0000SET_000_DJI_2491.T,-0.369508818390853,4.093379218270638,-0.1552178949275892,-0.3552659561248775,-0.1471027709287929,0.7435229437904924,0.4757251083902495,-0.3591713298931129,-5.745052989320719,0.2523819062897173,1.6751626489861826,1.034697786376643,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,62.872
174,-19.8565625833333,-43.9794275277778,841.881,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2501.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2501.TIF,0.0520892422183009,0.0875814286945223,0.0842120552752127,0.0403704380020215,0.0631470914729752,0000SET_000_DJI_2501.T,-0.3667765362558065,4.106895297577939,-0.1508188058707428,-0.3519083309372383,-0.1429498220306201,0.7498580965231728,0.4793902472762031,-0.3519047668589661,-5.572778708415562,0.2541133814584036,1.6813726782101597,1.040010582906428,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,79.644
236,-19.8569875277778,-43.9797491666667,842.098,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2521.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2521.TIF,0.0521696407702959,0.0872207586742654,0.0883454595403759,0.0408441990304041,0.0637860506978741,0000SET_000_DJI_2521.T,-0.4147615696073247,4.085220087208313,-0.1761915378703654,-0.3676862454431441,-0.1614353844515171,0.7220071187554626,0.4623236920482299,-0.3390257098553538,-5.315044686826067,0.2514600578206257,1.671868109238098,0.9872692850095316,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,99.157
266,-19.8571922222222,-43.9799035,841.908,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2531.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2531.TIF,0.0531696916209158,0.0867395024826302,0.0892819986635353,0.0449833340630151,0.0676739954010111,0000SET_000_DJI_2531.T,-0.4163305761391827,3.989493587828118,-0.1544430543037238,-0.3299337490991845,-0.137669181679281,0.7579802918172197,0.5038343085546008,-0.2316310332081096,-3.42274801178133,0.2399399916267802,1.6313711785476814,0.9715228576984856,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,71.254
296,-19.8573895277778,-43.9800518611111,841.891,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2541.TIF,89.9, _Campo220512-Pampulha_0000SET_000_DJI_2541.TIF,0.0509991643453871,0.0881706245780506,0.0896079851104751,0.040699768581548,0.0629444623589357,0000SET_000_DJI_2541.T,-0.4378875725317179,4.215567574485016,-0.1915898770688512,-0.3753285214671079,-0.1747826612672725,0.7024425589006748,0.45419801071713,-0.3123304128056356,-4.961999850353742,0.267094320687034,1.7288641041434176,0.9839594592976014,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,44.382
326,-19.8576064166667,-43.9802161944444,841.734,2022-05-12, _Campo220512-Pampulha_laptop-nitro_0000SET_000_DJI_2551.TIF,90.0, _Campo220512-Pampulha_0000SET_000_DJI_2551.TIF,0.0518414917590011,0.0851729825505865,0.0907504017617659,0.0431203022181007,0.0557844719327934,0000SET_000_DJI_2551.T,-0.4568222086112313,4.020275551244261,-0.2551988029379006,-0.3557918060312022,-0.2386184868310344,0.6147022035146074,0.4751527418170367,-0.2176355140327264,-3.901363703772688,0.2432698513025132,1.6429500706988849,0.9385411072248364,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,14.769
