,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
24,-19.8556835833333,-43.9787620833333,844.157,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2451.TIF,0.0535897011291127,0.0751151467611218,0.0731013449501586,0.0447968126683878,0.0657356054197841,0000SET_000_DJI_2451.T,675.0927344492804,184.0803402376525,830.2745901196777,inf,72041.72998765345,-0.2597564494295146,3.4145986485552573,-0.057229697646326,-0.2400761203864499,-0.0530531642386833,0.8992393431968104,0.612804219935089,-0.240770781023325,-3.6627148937896834,0.1672465799452014,1.401671313302312,1.0275480815344264,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,40.342
54,-19.8558574166667,-43.9788934444444,842.345,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2461.TIF,0.0527877776658858,0.0747823708967146,0.0763197758530964,0.0441004725459911,0.0652496268089267,0000SET_000_DJI_2461.T,1357.3132294227207,307.0637720121914,1699.2897463349957,inf,123282.88284519284,-0.3146730694017677,3.457219521929918,-0.0867769550235919,-0.2675571902187627,-0.0781959154733323,0.8549504513027133,0.5778380773926485,-0.2434930027872331,-3.731714872489068,0.1724117552472376,1.4166607158581497,0.9798557459164836,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,16.628
84,-19.8559793055556,-43.9789862222222,842.223,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2471.TIF,0.0516388006203304,0.0737078901255334,0.0748624348582039,0.0427015912425684,0.0636769462987658,0000SET_000_DJI_2471.T,1296.9616229279893,283.3040181802336,1503.9580205041325,inf,114819.69697546151,-0.3150766383126808,3.489219121369139,-0.0892364089780104,-0.273560243573729,-0.0807386929696515,0.8505860972779684,0.5704007800901615,-0.2580857078541175,-4.053047811734022,0.1760643968650703,1.4273741690374258,0.9845777827710612,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,0.041
114,-19.8561700833333,-43.9791280555556,842.318,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2481.TIF,0.0507079072000603,0.0756122101599281,0.0735166873570451,0.0415367557817645,0.0623474698106739,0000SET_000_DJI_2481.T,1219.5577928191246,260.2006406646983,1319.1132718568983,inf,105671.90271769284,-0.3016547209603017,3.65731352935776,-0.0884199427597193,-0.2779571884406577,-0.0822087133148976,0.8480723499941425,0.5649976525742361,-0.2714778727701902,-4.354272492445446,0.1971523101810874,1.4911325340565067,1.0285040427992325,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,25.926
144,-19.8564397777778,-43.9793344166667,842.07,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2491.TIF,0.0499608753067103,0.0804797844614166,0.0803945301118493,0.0402103464363697,0.0609191100752534,0000SET_000_DJI_2491.T,6492.563110345289,903.8560089645164,6126.620912199537,inf,254817.29078412816,-0.3781527871726523,3.951617222473013,-0.1493048262038514,-0.3331887136372432,-0.1378169864622408,0.7577519265365364,0.5001627148069259,-0.2956744989862545,-4.85355906580066,0.2339677613480116,1.610856174303401,1.001060449628211,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,62.872
174,-19.8565625833333,-43.9794275277778,841.881,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2501.TIF,0.0501149428627113,0.0809899154614055,0.0804603710793645,0.0405921005877591,0.0616088513421544,0000SET_000_DJI_2501.T,6063.873203950785,846.8255553173583,6050.130519570185,inf,279241.65849033825,-0.3746815642882581,3.9633702642501607,-0.143789635091977,-0.3293470173928976,-0.132692496065599,0.7657042903938966,0.5044980534295556,-0.288403772792372,-4.681206782945466,0.2354983102332123,1.6160831647214575,1.0065814310192365,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,79.644
236,-19.8569875277778,-43.9797491666667,842.098,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2521.TIF,0.0497323258719011,0.079982289511823,0.0835323882788091,0.0403824748100214,0.0613031651136988,0000SET_000_DJI_2521.T,12539.590649411508,1483.7703049649035,12806.079848467118,inf,392575.19508884026,-0.4225943344859072,3.946243352478124,-0.1713702276289485,-0.3482222583569732,-0.153479050167113,0.7338849801478797,0.4834349363415223,-0.2854012620523668,-4.65557139705648,0.2332039728170639,1.608255558323147,0.9575003320252642,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,99.157
266,-19.8571922222222,-43.9799035,841.908,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2531.TIF,0.050258315902756,0.0796519457942969,0.0837939489476506,0.0436438756824752,0.0646862610920915,0000SET_000_DJI_2531.T,6543.548735713395,1057.682708393486,12300.490130806202,inf,312243.0575092856,-0.4210271665114271,3.889146549749327,-0.1470837453943223,-0.315056172543015,-0.1286884484500982,0.7719681660128414,0.520847581843186,-0.1950625526739799,-3.015517505274829,0.2262610320968024,1.584851071182213,0.9505691854200428,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,71.254
296,-19.8573895277778,-43.9800518611111,841.891,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2541.TIF,0.0480977643916008,0.0810550267696939,0.0842053449224375,0.0398550042026908,0.0599045662252565,0000SET_000_DJI_2541.T,16584.408883120963,1985.6885913522224,20687.52829117105,inf,331247.0048082688,-0.4454699723119105,4.128277044480527,-0.1881552731356193,-0.3574900524825589,-0.1686266996048304,0.7114104963341137,0.4733072970534316,-0.257587534772261,-4.299964944302676,0.2551804113697694,1.6852140176363029,0.9625876699911936,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,44.382
326,-19.8576064166667,-43.9802161944444,841.734,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2551.TIF,0.0488589646151508,0.0783041567300363,0.0853866789270466,0.0424740184723426,0.0532566238380558,0000SET_000_DJI_2551.T,11786.462321800973,6522.280338203247,23362.18111857964,inf,7181.080728458392,-0.4664849969310035,3.93589622182291,-0.2526680278771473,-0.3356204160271457,-0.2317461748832355,0.6237111515199889,0.4974314378549833,-0.1638563432188285,-3.076731707910877,0.2315544931848273,1.602656899236763,0.9170535464546932,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,14.769
