,lat_d,long_d,Altitude,Gimbal Degree,DateTime,Image Index,Blue,Green,Red,Near-IR,RedEdge,Image,R^2/NIR,R^2/RE,R^2/B,R/B,MLR,KIVU,Kab 1(Rs),SABI,NDCI,NDVI,2BDA_1,2BDA_2,3BDA_1,3BDA_MOD,B3B1,GB1,GR,date,time,lat_p,long_p,spot,northing,easting,alt,obs,medicao,secchi_m,secchi_cm,chl_rfu,pc_rfu,cond_uscm,depth_m,fdom_qsu,fdom_rfu,od_mgl,orp_mv,press_psi,sal_psu,cond_uscm.1,sdt_mgl,turb_fnu,ph,temp_c,vertical_position_m,epsg,press_mmhg,id,Distance
24,-19.8556835833333,-43.9787620833333,844.157,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2451.TIF,0.0681145022754988,0.0943528311570601,0.0932299937854174,0.0580466600532233,0.0832708683167005,0000SET_000_DJI_2451.T,3560.904172313368,809.6371822150567,5440.988121848904,inf,733509.4524621515,-0.2661869411010174,3.3315677011988765,-0.0612992486446574,-0.2325760971003656,-0.0564253644435734,0.893176808617629,0.6226178689534858,-0.2120374979116503,-2.5463586749836367,0.1614991046335661,1.385209140565054,1.0120437353479512,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,40.342
54,-19.8558574166667,-43.9788934444444,842.345,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2461.TIF,0.0663429806694347,0.0931573374562949,0.096206781744464,0.0559485541478175,0.0816366671104109,0000SET_000_DJI_2461.T,8390.867579387539,1442.01974531375,12141.338780213451,inf,1582141.8622553872,-0.3205737936535596,3.3871949585265693,-0.0913484988949544,-0.2645863673499254,-0.0819266311346824,0.8485541832928893,0.5815448051928723,-0.2286135418302221,-2.8003781869368805,0.1681147542647733,1.4041777519835497,0.9683032294306574,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,16.628
84,-19.8559793055556,-43.9789862222222,842.223,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2471.TIF,0.0640322485425153,0.0909849880858238,0.0932090736973596,0.0528418627167249,0.0782828406549107,0000SET_000_DJI_2471.T,7936.514499096415,1236.5530446696623,9376.820100388684,inf,1455245.946399081,-0.3206773531400868,3.437682006687945,-0.0962875701250902,-0.2763913191640575,-0.0870375323456251,0.8398628754651841,0.5669175823836321,-0.2589016188405924,-3.307258866370116,0.1738693072430966,1.4209244584845833,0.9761387435438186,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,0.041
114,-19.8561700833333,-43.9791280555556,842.318,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2481.TIF,0.0614917744126374,0.0916796953844392,0.0895351706812025,0.0490852662766705,0.0741006984324076,0000SET_000_DJI_2481.T,7475.80899333022,1033.4439408554756,6554.264330128308,inf,1232694.267736443,-0.3058844834831868,3.625938900490061,-0.1007659733842253,-0.2918033249081793,-0.0943220599028868,0.8276155377672688,0.548223294859656,-0.3045816180973448,-4.110374457201303,0.1970857954930844,1.4909261646806171,1.023951757582196,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,25.926
144,-19.8564397777778,-43.9793344166667,842.07,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2491.TIF,0.0595440797495702,0.0965753719180036,0.0960447987456957,0.0457594153998101,0.0707454220763888,0000SET_000_DJI_2491.T,60446.3361550867,4295.65559852717,34301.10773047816,inf,3651112.4711556574,-0.3779505920734749,3.9494001709004793,-0.1620514061449372,-0.3546113467000888,-0.1516838130233894,0.7365877486370317,0.4764382454584593,-0.3579113596422851,-5.059145159326679,0.2371984513965907,1.6219139219915597,1.0055242259782615,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,62.872
174,-19.8565625833333,-43.9794275277778,841.881,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2501.TIF,0.0592373758117825,0.0966982113265892,0.0952878624958461,0.0456525511745896,0.0709870394508765,0000SET_000_DJI_2501.T,52157.753522979336,3662.850676767736,30705.538110655576,inf,3930408.31620402,-0.3728144108302731,3.974551984166837,-0.1558388530220873,-0.352172311891463,-0.1461484731637731,0.7449746231212926,0.4791014299075051,-0.3565925269409847,-5.023346933460285,0.2402327538072838,1.632385128501179,1.014800928405804,2022-05-12,09:33:38,-19.855979,-43.978986,P6,,,,,,0.65,65,7.72,4.8,270.5,0.223,29.23,9.45,5.33,133.5,0.317,0.13,277.6,180.0,7.87,7.5,23.66,0.38,4674,694.4,114,79.644
236,-19.8569875277778,-43.9797491666667,842.098,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2521.TIF,0.0575378134333717,0.0948296342124641,0.0966617779317822,0.0433196944191168,0.0686554292362583,0000SET_000_DJI_2521.T,130541.84015694346,6192.6552775546015,56746.897725463,inf,5986220.557609146,-0.4125710788966448,4.015487759360919,-0.1838079532619204,-0.3810653125504349,-0.1694097618468487,0.7102644985974805,0.4481574345724234,-0.3916321112010546,-5.70431378199331,0.2447492647233537,1.6481271802633934,0.9810458305390254,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,99.157
266,-19.8571922222222,-43.9799035,841.908,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2531.TIF,0.0581186006677287,0.0927398742554031,0.0965326235317951,0.0479587489282821,0.0731341968481939,0000SET_000_DJI_2531.T,40603.41748216277,3549.398242276948,49415.90342356733,inf,3594721.7059513777,-0.4142125830176912,3.8916853603556767,-0.1551018376363913,-0.3361714528452826,-0.1379080873396321,0.7576112009853909,0.4968138974539094,-0.2665783479794477,-3.645057435070896,0.2294950522687921,1.595700398665972,0.9607101813083658,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,71.254
296,-19.8573895277778,-43.9800518611111,841.891,89.9,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2541.TIF,0.0552615789494955,0.0952116180275575,0.0964934095927728,0.0422558309181803,0.0664935584946241,0000SET_000_DJI_2541.T,168381.06756440678,7971.371259870311,85611.00853155053,inf,4495742.780913773,-0.4330546155758366,4.189719405304041,-0.1993700652397493,-0.3909036076511777,-0.1840628821444312,0.6890994812520788,0.4379141652938875,-0.3703437123915895,-5.569617881430293,0.2654960476725588,1.7229261240358875,0.9867162786492384,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,44.382
326,-19.8576064166667,-43.9802161944444,841.734,90.0,2022-05-12, _Campo220512-Pampulha_0000SET_000_DJI_2551.TIF,0.0568346442221305,0.0925929002703262,0.0990154092998683,0.0479519656209407,0.0613170371003138,0000SET_000_DJI_2551.T,70690.0567425963,28507.666797819125,112198.04881576764,inf,44177.71274418623,-0.4555507490810904,3.973708444063423,-0.2522852953757636,-0.3474474774176398,-0.2351262832069634,0.6192676224224359,0.4842879099324642,-0.1998506428981897,-3.2593003894046118,0.239301637256047,1.6291630138202222,0.935136267425896,2022-05-12,09:44:18,-19.857716,-43.980296,P4,,,,coleta,,0.55,55,7.53,5.54,270.5,0.335,28.59,9.24,6.24,153.2,0.476,0.13,277.5,180.0,7.96,7.56,23.684,0.343,4674,694.4,116,14.769
