Latitude,Longitude,Altitude,Gimbal Degree,DateTime,Image Index
-19.8556835833333,-43.9787620833333,844.157,89.9,2022:05:12 08:25:41, _Campo220512-Pampulha_0000SET_000_DJI_2451.TIF
-19.8558574166667,-43.9788934444444,842.345,90.0,2022:05:12 08:25:47, _Campo220512-Pampulha_0000SET_000_DJI_2461.TIF
-19.8559793055556,-43.9789862222222,842.223,89.9,2022:05:12 08:25:50, _Campo220512-Pampulha_0000SET_000_DJI_2471.TIF
-19.8561700833333,-43.9791280555556,842.318,90.0,2022:05:12 08:25:55, _Campo220512-Pampulha_0000SET_000_DJI_2481.TIF
-19.8564397777778,-43.9793344166667,842.07,89.9,2022:05:12 08:26:02, _Campo220512-Pampulha_0000SET_000_DJI_2491.TIF
-19.8565625833333,-43.9794275277778,841.881,89.9,2022:05:12 08:26:05, _Campo220512-Pampulha_0000SET_000_DJI_2501.TIF
-19.8567535555556,-43.9795718333333,841.961,90.0,2022:05:12 08:26:10, _Campo220512-Pampulha_0000SET_000_DJI_2511.TIF
-19.8569875277778,-43.9797491666667,842.098,89.9,2022:05:12 08:26:15, _Campo220512-Pampulha_0000SET_000_DJI_2521.TIF
-19.8571922222222,-43.9799035,841.908,90.0,2022:05:12 08:26:19, _Campo220512-Pampulha_0000SET_000_DJI_2531.TIF
-19.8573895277778,-43.9800518611111,841.891,89.9,2022:05:12 08:26:24, _Campo220512-Pampulha_0000SET_000_DJI_2541.TIF
-19.8576064166667,-43.9802161944444,841.734,90.0,2022:05:12 08:26:29, _Campo220512-Pampulha_0000SET_000_DJI_2551.TIF
-19.8578095,-43.98036975,841.593,89.9,2022:05:12 08:26:33, _Campo220512-Pampulha_0000SET_000_DJI_2561.TIF
-19.8580144722222,-43.9805247222222,841.603,89.9,2022:05:12 08:26:38, _Campo220512-Pampulha_0000SET_000_DJI_2571.TIF
-19.8581891111111,-43.9806590555556,841.471,90.0,2022:05:12 08:26:42, _Campo220512-Pampulha_0000SET_000_DJI_2581.TIF
-19.8584225,-43.9808375833333,841.245,90.0,2022:05:12 08:26:48, _Campo220512-Pampulha_0000SET_000_DJI_2591.TIF
-19.8585889166667,-43.9809625555556,841.173,90.0,2022:05:12 08:26:52, _Campo220512-Pampulha_0000SET_000_DJI_2601.TIF
-19.8584982222222,-43.9807474166667,841.351,89.9,2022:05:12 08:27:01, _Campo220512-Pampulha_0000SET_000_DJI_2611.TIF
-19.8583933888889,-43.9805662222222,841.278,89.9,2022:05:12 08:27:05, _Campo220512-Pampulha_0000SET_000_DJI_2621.TIF
-19.85825075,-43.9803185277778,841.282,89.9,2022:05:12 08:27:10, _Campo220512-Pampulha_0000SET_000_DJI_2631.TIF
-19.8581235555556,-43.9800971111111,841.367,90.0,2022:05:12 08:27:14, _Campo220512-Pampulha_0000SET_000_DJI_2641.TIF
-19.857998,-43.9798790555556,841.435,89.9,2022:05:12 08:27:18, _Campo220512-Pampulha_0000SET_000_DJI_2651.TIF
-19.8578559722222,-43.9796332222222,841.788,90.0,2022:05:12 08:27:22, _Campo220512-Pampulha_0000SET_000_DJI_2661.TIF
-19.8577228333333,-43.9794046111111,841.91,89.9,2022:05:12 08:27:26, _Campo220512-Pampulha_0000SET_000_DJI_2671.TIF
-19.8575894722222,-43.9791717222222,841.89,89.9,2022:05:12 08:27:29, _Campo220512-Pampulha_0000SET_000_DJI_2681.TIF
-19.85746075,-43.97894725,841.797,90.0,2022:05:12 08:27:32, _Campo220512-Pampulha_0000SET_000_DJI_2691.TIF
-19.8575659166667,-43.9787868888889,841.519,90.0,2022:05:12 08:27:39, _Campo220512-Pampulha_0000SET_000_DJI_2701.TIF
-19.8578222222222,-43.9786061944444,841.027,90.0,2022:05:12 08:27:45, _Campo220512-Pampulha_0000SET_000_DJI_2711.TIF
-19.8580625277778,-43.9784402222222,840.667,89.9,2022:05:12 08:27:49, _Campo220512-Pampulha_0000SET_000_DJI_2721.TIF
-19.8582410833333,-43.9783161944444,840.772,89.9,2022:05:12 08:27:52, _Campo220512-Pampulha_0000SET_000_DJI_2731.TIF
-19.8584813055556,-43.9781451666667,840.763,89.9,2022:05:12 08:27:57, _Campo220512-Pampulha_0000SET_000_DJI_2741.TIF
-19.8586673333333,-43.9780164166667,840.563,90.0,2022:05:12 08:28:00, _Campo220512-Pampulha_0000SET_000_DJI_2751.TIF
-19.8589344166667,-43.9778304444444,840.342,89.9,2022:05:12 08:28:04, _Campo220512-Pampulha_0000SET_000_DJI_2761.TIF
-19.8592053611111,-43.9776396388889,840.11,89.9,2022:05:12 08:28:09, _Campo220512-Pampulha_0000SET_000_DJI_2771.TIF
-19.8593563333333,-43.9775344444444,840.257,89.9,2022:05:12 08:28:12, _Campo220512-Pampulha_0000SET_000_DJI_2781.TIF
-19.85951825,-43.9774214166667,840.173,89.9,2022:05:12 08:28:16, _Campo220512-Pampulha_0000SET_000_DJI_2791.TIF
-19.85972675,-43.9772755277778,840.083,90.0,2022:05:12 08:28:21, _Campo220512-Pampulha_0000SET_000_DJI_2801.TIF
-19.8599068888889,-43.9771512777778,839.835,89.9,2022:05:12 08:28:24, _Campo220512-Pampulha_0000SET_000_DJI_2811.TIF
-19.8600978888889,-43.9770173888889,839.655,89.9,2022:05:12 08:28:27, _Campo220512-Pampulha_0000SET_000_DJI_2821.TIF
-19.8602966666667,-43.9768789444444,839.684,89.9,2022:05:12 08:28:31, _Campo220512-Pampulha_0000SET_000_DJI_2831.TIF
-19.860519,-43.9767238611111,839.847,90.0,2022:05:12 08:28:34, _Campo220512-Pampulha_0000SET_000_DJI_2841.TIF
-19.8607995555556,-43.9765284444444,840.15,89.9,2022:05:12 08:28:39, _Campo220512-Pampulha_0000SET_000_DJI_2851.TIF
-19.8610445833333,-43.9763571111111,840.073,89.9,2022:05:12 08:28:44, _Campo220512-Pampulha_0000SET_000_DJI_2861.TIF
-19.8612413611111,-43.9762194722222,839.931,89.9,2022:05:12 08:28:49, _Campo220512-Pampulha_0000SET_000_DJI_2871.TIF
-19.8615293888889,-43.9760198611111,839.994,90.0,2022:05:12 08:28:56, _Campo220512-Pampulha_0000SET_000_DJI_2881.TIF
-19.8616661111111,-43.9759246388889,840.03,90.0,2022:05:12 08:29:00, _Campo220512-Pampulha_0000SET_000_DJI_2891.TIF
-19.8620655833333,-43.9756464166667,840.059,90.0,2022:05:12 08:29:09, _Campo220512-Pampulha_0000SET_000_DJI_2901.TIF
-19.8621671388889,-43.9755763333333,840.079,90.0,2022:05:12 08:29:11, _Campo220512-Pampulha_0000SET_000_DJI_2911.TIF
-19.8622891666667,-43.9754591388889,840.419,90.0,2022:05:12 08:29:17, _Campo220512-Pampulha_0000SET_000_DJI_2921.TIF
-19.8620059444444,-43.9753003333333,840.315,90.0,2022:05:12 08:29:24, _Campo220512-Pampulha_0000SET_000_DJI_2931.TIF
-19.8618434722222,-43.9753996111111,840.45,90.0,2022:05:12 08:29:29, _Campo220512-Pampulha_0000SET_000_DJI_2941.TIF
-19.8616665555556,-43.9755048055556,840.141,89.9,2022:05:12 08:29:33, _Campo220512-Pampulha_0000SET_000_DJI_2951.TIF
-19.8614083333333,-43.975659,840.068,89.9,2022:05:12 08:29:39, _Campo220512-Pampulha_0000SET_000_DJI_2961.TIF
-19.8612299722222,-43.9757666388889,840.121,89.9,2022:05:12 08:29:43, _Campo220512-Pampulha_0000SET_000_DJI_2971.TIF
-19.8609221666667,-43.9759509166667,840.212,89.9,2022:05:12 08:29:50, _Campo220512-Pampulha_0000SET_000_DJI_2981.TIF
-19.8607351111111,-43.9760625277778,840.326,89.9,2022:05:12 08:29:53, _Campo220512-Pampulha_0000SET_000_DJI_2991.TIF
-19.8604359166667,-43.97623975,841.406,90.0,2022:05:12 08:29:57, _Campo220512-Pampulha_0000SET_000_DJI_3001.TIF
-19.8601655277778,-43.9764008611111,841.864,89.9,2022:05:12 08:30:00, _Campo220512-Pampulha_0000SET_000_DJI_3011.TIF
-19.8598740277778,-43.9765741666667,841.891,90.0,2022:05:12 08:30:04, _Campo220512-Pampulha_0000SET_000_DJI_3021.TIF
